date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2016-09-20,,14519,,,,,,,,,,,
2016-09-21,,14503,,,,,,,,,,,
2016-09-22,,14537,,,,,,,,,,,
2016-09-23,,14537,,,,,,,,,,,
2016-09-26,,14537,,,,,,,,,,,
2016-09-27,,14537,,,,,,,,,,,
2016-09-28,,14537,,,,,,,,,,,
2016-09-29,,14537,,,,,,,,,,,
2016-09-30,,14662,,,,,,,,,,,
2016-10-03,,14536,,,,,,,,,,,
2016-10-04,,14536,,,,,,,,,,,
2016-10-05,,14696,,,,,,,,,,,
2016-10-06,,14772,,,,,,,,,,,
2016-10-07,,14575,,,,,,,,,,,
2016-10-10,,14635,,,,,,,,,,,
2016-10-11,,14604,,,,,,,,,,,
2016-10-12,,14610,,,,,,,,,,,
2016-10-13,,14907,,,,,,,,,,,
2016-10-14,,14784,,,,,,,,,,,
2016-10-17,,14727,,,,,,,,,,,
2016-10-18,,14724,,,,,,,,,,,
2016-10-19,,14706,,,,,,,,,,,
2016-10-20,,14634,,,,,,,,,,,
2016-10-21,14400.0,14400,14400.0,14400.0,14400.0,14400.0,,1.0,1.0,14400.0,1.0,28800.0,2.0
2016-10-24,,14605,,,,,,,,,,29210.0,2.0
2016-10-25,,14534,,,,,,,,,,29068.0,2.0
2016-10-26,,14671,,,,,,,,,,29342.0,2.0
2016-10-27,,14600,,,,,,,,,,29200.0,2.0
2016-10-28,,14593,,,,,,,,,,29186.0,2.0
2016-10-31,,15008,,,,,,,,,,30016.0,2.0
2016-11-01,,15334,,,,,,,,,,30668.0,2.0
2016-11-02,14732.0,14732,14732.0,14732.0,14732.0,14732.0,,1.0,1.0,14732.0,1.0,29464.0,2.0
2016-11-03,,14747,,,,,,,,,,29494.0,2.0
2016-11-07,,14487,,,,,,,,,,28974.0,2.0
2016-11-08,,14600,,,,,,,,,,29200.0,2.0
2016-11-09,14850.0,15182,14850.0,14850.0,14850.0,14850.0,,5.0,1.0,74250.0,5.0,182184.0,12.0
2016-11-10,15152.0,15580,15056.0,15580.0,15055.0,15580.0,4.92,1.0,4.0,106066.0,7.0,405080.0,26.0
2016-11-11,,15585,,,,,,,,,,405210.0,26.0
2016-11-14,,15481,,,,,,,,,,402506.0,26.0
2016-11-15,15460.0,15663,15700.0,15745.0,15191.0,15738.0,,3.0,13.0,772999.0,50.0,438564.0,28.0
2016-11-16,,15303,,,,,,,,,,428484.0,28.0
2016-11-17,,15368,,,,,,,,,,430304.0,28.0
2016-11-18,,15307,,,,,,,,,,428596.0,28.0
