date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2016-03-17,,81000,,,,,,,,,,,
2016-03-18,79000.0,80000,78000.0,80000.0,78000.0,80000.0,,30.0,2.0,6430094.0,60.0,,
2016-03-21,,80040,,,,,,,,,,,
2016-03-22,,80040,,,,,,,,,,,
2016-03-23,,80040,,,,,,,,,,,
2016-03-24,,80040,,,,,,,,,,,
2016-03-25,,80040,,,,,,,,,,,
2016-03-28,,81350,,,,,,,,,,,
2016-03-29,,81490,,,,,,,,,,,
2016-03-30,,81550,,,,,,,,,,,
2016-03-31,,81030,,,,,,,,,,,
2016-04-01,80562.0,84000,78550.0,84000.0,78550.0,84000.0,,1.0,10.0,16862238.0,154.0,228336.0,2.0
2016-04-04,,82330,,,,,,,,,,225006.0,2.0
2016-04-05,,81690,,,,,,,,,,226388.0,2.0
2016-04-06,81164.0,82500,80330.0,82500.0,80250.0,82500.0,,1.0,5.0,553441.0,5.0,900082.0,8.0
2016-04-07,81630.0,81500,81630.0,81630.0,81630.0,81630.0,-1.06,1.0,1.0,111546.0,1.0,1113681.0,10.0
2016-04-08,81920.0,83080,80900.0,83080.0,80750.0,83080.0,1.78,1.0,6.0,658593.0,6.0,2003755.0,18.0
2016-04-11,84125.0,84500,83750.0,84500.0,83750.0,84500.0,1.71,1.0,2.0,224186.0,2.0,2251857.0,20.0
2016-04-12,,86020,,,,,,,,,,2265233.0,20.0
2016-04-13,,87440,,,,,,,,,,2306195.0,20.0
2016-04-14,,87370,,,,,,,,,,2307284.0,20.0
2016-04-15,,85450,,,,,,,,,,2270663.0,20.0
2016-04-18,83750.0,84330,83750.0,83750.0,83750.0,83750.0,,1.0,1.0,111221.0,1.0,2015839.0,18.0
2016-04-19,85750.0,87000,85750.0,85750.0,85750.0,85750.0,2.39,1.0,1.0,112657.0,1.0,2285977.0,20.0
2016-04-20,,90050,,,,,,,,,,2359454.0,20.0
2016-04-21,,88140,,,,,,,,,,2332184.0,20.0
2016-04-22,,89390,,,,,,,,,,2375110.0,20.0
2016-04-25,,89130,,,,,,,,,,2362765.0,20.0
2016-04-26,,90100,,,,,,,,,,2375378.0,20.0
2016-04-27,,89270,,,,,,,,,,2347658.0,20.0
2016-04-28,90000.0,90000,90000.0,90000.0,90000.0,90000.0,,1.0,1.0,116200.0,1.0,2556398.0,22.0
2016-04-29,,90420,,,,,,,,,,2568387.0,22.0
2016-05-04,86700.0,86700,86700.0,86700.0,86700.0,86700.0,,1.0,1.0,115048.0,1.0,2531063.0,22.0
2016-05-05,,87840,,,,,,,,,,2537791.0,22.0
2016-05-06,86190.0,85970,86500.0,86500.0,85970.0,85970.0,,1.0,3.0,339267.0,3.0,2932810.0,26.0
2016-05-10,,85120,,,,,,,,,,2935150.0,26.0
2016-05-11,87500.0,87500,87500.0,87500.0,87500.0,87500.0,,1.0,1.0,113933.0,1.0,3190121.0,28.0
2016-05-12,,88010,,,,,,,,,,3217512.0,28.0
2016-05-13,86500.0,86500,86500.0,86500.0,86500.0,86500.0,,1.0,1.0,112697.0,1.0,2930110.0,26.0
2016-05-16,87500.0,87500,87500.0,87500.0,87500.0,87500.0,1.16,1.0,1.0,113633.0,1.0,3181717.0,28.0
2016-05-17,87200.0,88010,87200.0,87200.0,87200.0,87200.0,-0.34,1.0,1.0,112764.0,1.0,3186733.0,28.0
2016-05-18,,88670,,,,,,,,,,3241392.0,28.0
2016-05-19,84873.0,84330,86500.0,86500.0,84330.0,84330.0,,1.0,7.0,1254077.0,11.0,4984230.0,44.0
2016-05-20,84100.0,84100,84100.0,84100.0,84100.0,84100.0,-0.27,1.0,1.0,112196.0,1.0,5161022.0,46.0
2016-05-23,,84350,,,,,,,,,,5192854.0,46.0
2016-05-24,,84470,,,,,,,,,,5171993.0,46.0
2016-05-25,,85980,,,,,,,,,,5202473.0,46.0
2016-05-26,87500.0,87500,87500.0,87500.0,87500.0,87500.0,,1.0,1.0,114727.0,1.0,5506914.0,48.0
2016-05-27,86528.0,86620,86510.0,86620.0,86500.0,86620.0,-1.01,1.0,10.0,1260577.0,11.0,7800928.0,68.0
2016-05-30,,86770,,,,,,,,,,7768709.0,68.0
2016-05-31,87025.0,86550,87500.0,87500.0,86550.0,86550.0,,1.0,2.0,230186.0,2.0,7783618.0,68.0
2016-06-01,85500.0,85500,85500.0,85500.0,85500.0,85500.0,-1.21,1.0,1.0,114364.0,1.0,8005477.0,70.0
2016-06-02,,84520,,,,,,,,,,7961995.0,70.0
2016-06-03,,84920,,,,,,,,,,7852552.0,70.0
2016-06-06,86500.0,86500,86500.0,86500.0,86500.0,86500.0,,1.0,1.0,113041.0,1.0,7912856.0,70.0
2016-06-07,88000.0,89000,87500.0,89000.0,87500.0,89000.0,2.89,1.0,3.0,342627.0,3.0,8547508.0,74.0
2016-06-08,,90750,,,,,,,,,,8589863.0,74.0
2016-06-09,91000.0,91000,91000.0,91000.0,91000.0,91000.0,,1.0,2.0,233124.0,2.0,8858704.0,76.0
2016-06-10,,89860,,,,,,,,,,8851534.0,76.0
2016-06-14,87900.0,86500,88740.0,89740.0,86500.0,86500.0,,1.0,5.0,580637.0,5.0,8456554.0,74.0
2016-06-15,,86280,,,,,,,,,,8367304.0,74.0
2016-06-16,,84760,,,,,,,,,,8244232.0,74.0
2016-06-17,86890.0,86280,87500.0,87500.0,86280.0,86280.0,,1.0,2.0,226058.0,2.0,8080964.0,72.0
