date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2018-03-05,,28223,,,,,,,,,,,
2018-03-06,27314.0,27934,28319.0,28319.0,26308.0,26308.0,,1.0,2.0,54627.0,2.0,55868.0,2.0
2018-03-07,,27901,,,,,,,,,,55802.0,2.0
2018-03-09,27210.0,27934,28186.0,28186.0,26233.0,26233.0,,1.0,2.0,54419.0,2.0,55868.0,2.0
2018-03-12,27506.0,27962,27987.0,27987.0,27024.0,27024.0,3.02,2.0,2.0,110022.0,4.0,167772.0,6.0
2018-03-13,,27848,,,,,,,,,,167088.0,6.0
2018-03-14,27249.0,26638,27898.0,28750.0,26153.0,26153.0,,1.0,10.0,572221.0,21.0,372932.0,14.0
2018-03-15,,26021,,,,,,,,,,364294.0,14.0
2018-03-16,26127.0,26626,26484.0,26944.0,25194.0,26944.0,,1.0,11.0,418035.0,16.0,319512.0,12.0
2018-03-19,25911.0,25911,25911.0,25911.0,25911.0,25911.0,-3.83,1.0,1.0,25911.0,1.0,362754.0,14.0
2018-03-20,25692.0,25831,25736.0,25736.0,25648.0,25648.0,-1.02,1.0,2.0,51384.0,2.0,464958.0,18.0
2018-03-21,,27247,,,,,,,,,,490446.0,18.0
2018-03-22,,27056,,,,,,,,,,487008.0,18.0
2018-03-23,,26644,,,,,,,,,,479592.0,18.0
2018-03-26,26100.0,26100,26100.0,26100.0,26100.0,26100.0,,1.0,1.0,26100.0,1.0,522000.0,20.0
2018-03-27,,26433,,,,,,,,,,528660.0,20.0
2018-03-28,,26068,,,,,,,,,,521360.0,20.0
2018-03-29,,26017,,,,,,,,,,520340.0,20.0
2018-03-30,,26123,,,,,,,,,,522460.0,20.0
2018-04-02,,25814,,,,,,,,,,516280.0,20.0
2018-04-03,24677.0,25238,24677.0,24677.0,24677.0,24677.0,,1.0,2.0,49354.0,2.0,454284.0,18.0
2018-04-04,,25870,,,,,,,,,,465660.0,18.0
2018-04-05,,26503,,,,,,,,,,477054.0,18.0
2018-04-06,26286.0,26285,26286.0,26286.0,26285.0,26285.0,,1.0,2.0,52571.0,2.0,578270.0,22.0
2018-04-09,24310.0,22605,25350.0,25350.0,22605.0,22605.0,-14.0,1.0,8.0,340339.0,14.0,587730.0,26.0
