date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2021-04-20,,5027.0,,,,,,,,,,,
2021-04-21,,4883.0,,,,,,,,,,,
2021-04-22,,4808.0,,,,,,,,,,,
2021-04-23,,4559.0,,,,,,,,,,,
2021-04-26,,4439.0,,,,,,,,,,,
2021-04-27,,4713.0,,,,,,,,,,,
2021-04-28,,4474.0,,,,,,,,,,,
2021-04-29,,4589.0,,,,,,,,,,,
2021-04-30,,4754.0,,,,,,,,,,,
2021-05-04,,4580.0,,,,,,,,,,,
2021-05-05,,4269.0,,,,,,,,,,,
2021-05-06,,4087.0,,,,,,,,,,,
2021-05-07,,3966.0,,,,,,,,,,,
2021-05-10,,4175.0,,,,,,,,,,,
2021-05-11,,4144.0,,,,,,,,,,,
2021-05-12,,3678.0,,,,,,,,,,,
2021-05-13,,3263.0,,,,,,,,,,,
2021-05-14,,2897.0,,,,,,,,,,,
2021-05-17,,2727.0,,,,,,,,,,,
2021-05-18,,2582.0,,,,,,,,,,,
2021-05-19,,2463.0,,,,,,,,,,,
2021-05-20,,2377.0,,,,,,,,,,,
2021-05-21,,2405.0,,,,,,,,,,,
2021-05-24,,2385.0,,,,,,,,,,,
2021-05-25,,2325.0,,,,,,,,,,,
2021-05-26,,2125.0,,,,,,,,,,,
2021-05-27,,1967.0,,,,,,,,,,,
2021-05-28,,2119.0,,,,,,,,,,,
2021-05-31,,2086.0,,,,,,,,,,,
2021-06-01,,1881.0,,,,,,,,,,,
2021-06-02,,1730.0,,,,,,,,,,,
2021-06-03,,1819.0,,,,,,,,,,,
2021-06-04,,1723.0,,,,,,,,,,,
2021-06-07,,1515.0,,,,,,,,,,,
2021-06-08,,1653.0,,,,,,,,,,,
2021-06-09,,1430.0,,,,,,,,,,,
2021-06-10,,1887.0,,,,,,,,,,,
2021-06-11,,1703.0,,,,,,,,,,,
2021-06-14,,1562.0,,,,,,,,,,,
2021-06-15,,1773.0,,,,,,,,,,,
2021-06-16,,1872.0,,,,,,,,,,,
2021-06-17,,1705.0,,,,,,,,,,,
2021-06-18,,2077.0,,,,,,,,,,,
2021-06-21,,2081.0,,,,,,,,,,,
2021-06-22,,1744.0,,,,,,,,,,,
2021-06-23,,1632.0,,,,,,,,,,,
2021-06-24,,1607.0,,,,,,,,,,,
2021-06-25,,1596.0,,,,,,,,,,,
2021-06-28,,1402.0,,,,,,,,,,,
2021-06-29,,1571.0,,,,,,,,,,,
2021-06-30,,1455.0,,,,,,,,,,,
2021-07-01,,1217.0,,,,,,,,,,,
2021-07-02,,1435.0,,,,,,,,,,,
2021-07-05,,1254.0,,,,,,,,,,,
2021-07-06,,1155.0,,,,,,,,,,,
2021-07-07,,935.0,,,,,,,,,,,
2021-07-08,,1079.0,,,,,,,,,,,
2021-07-09,,1080.0,,,,,,,,,,,
2021-07-12,,1273.0,,,,,,,,,,,
2021-07-13,,1255.0,,,,,,,,,,,
2021-07-14,,678.0,,,,,,,,,,,
2021-07-15,,811.0,,,,,,,,,,,
2021-07-16,,756.0,,,,,,,,,,,
2021-07-19,1010.0,1077.0,1010.0,1010.0,1010.0,1010.0,,5.0,1.0,135000.0,5.0,270000.0,10.0
2021-07-20,,988.0,,,,,,,,,,270000.0,10.0
2021-07-21,,928.0,,,,,,,,,,270000.0,10.0
2021-07-22,,889.0,,,,,,,,,,270000.0,10.0
2021-07-23,,967.0,,,,,,,,,,270000.0,10.0
2021-07-26,,934.0,,,,,,,,,,270000.0,10.0
2021-07-27,,787.0,,,,,,,,,,270000.0,10.0
2021-07-28,,715.0,,,,,,,,,,270000.0,10.0
2021-07-29,,646.0,,,,,,,,,,270000.0,10.0
2021-07-30,,665.0,,,,,,,,,,270000.0,10.0
