date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2016-09-12,,3241,,,,,,,,,,,
2016-09-13,,3636,,,,,,,,,,,
2016-09-14,,3485,,,,,,,,,,,
2016-09-15,,3446,,,,,,,,,,,
2016-09-16,,3528,,,,,,,,,,,
2016-09-19,,3588,,,,,,,,,,,
2016-09-20,,3568,,,,,,,,,,,
2016-09-21,,3525,,,,,,,,,,,
2016-09-22,,3529,,,,,,,,,,,
2016-09-23,,3496,,,,,,,,,,,
2016-09-26,,3638,,,,,,,,,,,
2016-09-27,,3706,,,,,,,,,,,
2016-09-28,,3731,,,,,,,,,,,
2016-09-29,,3616,,,,,,,,,,,
2016-09-30,,3689,,,,,,,,,,,
2016-10-03,,3635,,,,,,,,,,,
2016-10-04,,3552,,,,,,,,,,,
2016-10-05,,3698,,,,,,,,,,,
2016-10-06,,3639,,,,,,,,,,,
2016-10-07,,3592,,,,,,,,,,,
2016-10-10,,3353,,,,,,,,,,,
2016-10-11,,3349,,,,,,,,,,,
2016-10-12,,3358,,,,,,,,,,,
2016-10-13,,3552,,,,,,,,,,,
2016-10-14,,3638,,,,,,,,,,,
2016-10-17,,3660,,,,,,,,,,,
2016-10-18,,3660,,,,,,,,,,,
2016-10-19,,3682,,,,,,,,,,,
2016-10-20,,3778,,,,,,,,,,,
2016-10-21,,3769,,,,,,,,,,,
2016-10-24,,3744,,,,,,,,,,,
2016-10-25,,3762,,,,,,,,,,,
2016-10-26,,3659,,,,,,,,,,,
2016-10-27,,3758,,,,,,,,,,,
2016-10-28,,3752,,,,,,,,,,,
2016-10-31,,3547,,,,,,,,,,,
2016-11-01,,3081,,,,,,,,,,,
2016-11-02,,3235,,,,,,,,,,,
2016-11-03,,3337,,,,,,,,,,,
2016-11-07,,3399,,,,,,,,,,,
2016-11-08,,3443,,,,,,,,,,,
2016-11-09,,2837,,,,,,,,,,,
2016-11-10,,2618,,,,,,,,,,,
2016-11-11,,2486,,,,,,,,,,,
2016-11-14,,2676,,,,,,,,,,,
2016-11-15,,2759,,,,,,,,,,,
2016-11-16,,2843,,,,,,,,,,,
2016-11-17,,2664,,,,,,,,,,,
2016-11-18,,2656,,,,,,,,,,,
2016-11-21,,2357,,,,,,,,,,,
2016-11-22,,2317,,,,,,,,,,,
2016-11-23,,2442,,,,,,,,,,,
2016-11-24,,2220,,,,,,,,,,,
2016-11-25,,2328,,,,,,,,,,,
2016-11-28,,2590,,,,,,,,,,,
2016-11-29,,2696,,,,,,,,,,,
2016-11-30,,2514,,,,,,,,,,,
2016-12-01,,2133,,,,,,,,,,,
2016-12-02,,2230,,,,,,,,,,,
2016-12-05,,2137,,,,,,,,,,,
2016-12-06,,2246,,,,,,,,,,,
2016-12-07,,2263,,,,,,,,,,,
2016-12-08,,2154,,,,,,,,,,,
2016-12-09,,2200,,,,,,,,,,,
2016-12-12,,1745,,,,,,,,,,,
2016-12-13,,1713,,,,,,,,,,,
2016-12-14,,1863,,,,,,,,,,,
2016-12-15,,1877,,,,,,,,,,,
2016-12-16,,1843,,,,,,,,,,,
2016-12-19,,2003,,,,,,,,,,,
2016-12-20,,1992,,,,,,,,,,,
2016-12-21,,2168,,,,,,,,,,,
2016-12-22,,2474,,,,,,,,,,,
2016-12-23,,2565,,,,,,,,,,,
2016-12-26,,2550,,,,,,,,,,,
2016-12-27,,2412,,,,,,,,,,,
2016-12-28,,2343,,,,,,,,,,,
2016-12-29,,2222,,,,,,,,,,,
2016-12-30,,2110,,,,,,,,,,,
2017-01-03,,1839,,,,,,,,,,,
2017-01-04,,1881,,,,,,,,,,,
2017-01-05,,2149,,,,,,,,,,,
2017-01-06,,2151,,,,,,,,,,,
2017-01-09,,2123,,,,,,,,,,,
2017-01-10,,1846,,,,,,,,,,,
2017-01-11,,1941,,,,,,,,,,,
2017-01-12,,1896,,,,,,,,,,,
2017-01-13,,1822,,,,,,,,,,,
2017-01-16,,1975,,,,,,,,,,,
2017-01-17,,2177,,,,,,,,,,,
2017-01-18,,2219,,,,,,,,,,,
2017-01-19,,2453,,,,,,,,,,,
2017-01-20,,2589,,,,,,,,,,,
2017-01-23,,2749,,,,,,,,,,,
2017-01-24,,2537,,,,,,,,,,,
2017-01-25,,2779,,,,,,,,,,,
2017-01-26,,2517,,,,,,,,,,,
2017-01-27,,2182,,,,,,,,,,,
2017-01-30,,2497,,,,,,,,,,,
2017-01-31,,2599,,,,,,,,,,,
2017-02-01,,2612,,,,,,,,,,,
2017-02-02,,2741,,,,,,,,,,,
2017-02-03,,2706,,,,,,,,,,,
2017-02-06,,2778,,,,,,,,,,,
2017-02-07,,2744,,,,,,,,,,,
2017-02-08,,3110,,,,,,,,,,,
2017-02-09,,3411,,,,,,,,,,,
2017-02-10,,3434,,,,,,,,,,,
2017-02-13,,3523,,,,,,,,,,,
2017-02-14,,3599,,,,,,,,,,,
2017-02-15,,3673,,,,,,,,,,,
2017-02-16,,3752,,,,,,,,,,,
2017-02-17,,3838,,,,,,,,,,,
2017-02-20,,3778,,,,,,,,,,,
2017-02-21,,3841,,,,,,,,,,,
2017-02-22,,4022,,,,,,,,,,,
2017-02-24,,3974,,,,,,,,,,,
2017-02-27,,4158,,,,,,,,,,,
2017-02-28,,4408,,,,,,,,,,,
2017-03-01,,4289,,,,,,,,,,,
2017-03-02,,4550,,,,,,,,,,,
2017-03-03,,4221,,,,,,,,,,,
2017-03-06,,4252,,,,,,,,,,,
2017-03-07,,4417,,,,,,,,,,,
2017-03-09,,4820,,,,,,,,,,,
2017-03-10,,4847,,,,,,,,,,,
2017-03-13,,4746,,,,,,,,,,,
2017-03-14,,4864,,,,,,,,,,,
2017-03-15,,4983,,,,,,,,,,,
2017-03-16,,4950,,,,,,,,,,,
