date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2017-12-14,,4892,,,,,,,,,,,
2017-12-15,,4847,,,,,,,,,,,
2017-12-18,,4638,,,,,,,,,,,
2017-12-19,,4774,,,,,,,,,,,
2017-12-20,,4698,,,,,,,,,,,
2017-12-21,,4386,,,,,,,,,,,
2017-12-22,,4481,,,,,,,,,,,
2017-12-25,,4479,,,,,,,,,,,
2017-12-26,,4409,,,,,,,,,,,
2017-12-27,,4376,,,,,,,,,,,
2017-12-28,,4279,,,,,,,,,,,
2017-12-29,,4257,,,,,,,,,,,
2018-01-03,,4400,,,,,,,,,,,
2018-01-04,,4806,,,,,,,,,,,
2018-01-05,,4859,,,,,,,,,,,
2018-01-09,,5204,,,,,,,,,,,
2018-01-10,,5560,,,,,,,,,,,
2018-01-11,,5642,,,,,,,,,,,
2018-01-12,,5603,,,,,,,,,,,
2018-01-15,,5495,,,,,,,,,,,
2018-01-16,,5645,,,,,,,,,,,
2018-01-17,,6024,,,,,,,,,,,
2018-01-18,,6197,,,,,,,,,,,
2018-01-19,,6166,,,,,,,,,,,
2018-01-22,,6168,,,,,,,,,,,
2018-01-23,,6017,,,,,,,,,,,
2018-01-24,,6080,,,,,,,,,,,
2018-01-25,,6147,,,,,,,,,,,
2018-01-26,,5815,,,,,,,,,,,
2018-01-29,,5631,,,,,,,,,,,
2018-01-30,,5589,,,,,,,,,,,
2018-01-31,,5453,,,,,,,,,,,
2018-02-01,,5659,,,,,,,,,,,
2018-02-02,,5490,,,,,,,,,,,
2018-02-05,,5614,,,,,,,,,,,
2018-02-06,,5365,,,,,,,,,,,
2018-02-07,,5274,,,,,,,,,,,
2018-02-08,,4899,,,,,,,,,,,
2018-02-09,,4739,,,,,,,,,,,
2018-02-12,,4907,,,,,,,,,,,
2018-02-13,,5074,,,,,,,,,,,
2018-02-14,,4971,,,,,,,,,,,
2018-02-15,,4811,,,,,,,,,,,
2018-02-16,,4866,,,,,,,,,,,
2018-02-19,,4954,,,,,,,,,,,
2018-02-20,,5209,,,,,,,,,,,
2018-02-21,,5476,,,,,,,,,,,
2018-02-22,,5623,,,,,,,,,,,
2018-02-26,,5780,,,,,,,,,,,
2018-02-27,,5759,,,,,,,,,,,
2018-02-28,,5334,,,,,,,,,,,
2018-03-01,,5116,,,,,,,,,,,
2018-03-02,,4920,,,,,,,,,,,
2018-03-05,,5269,,,,,,,,,,,
2018-03-06,,5118,,,,,,,,,,,
2018-03-07,,4910,,,,,,,,,,,
2018-03-09,,4998,,,,,,,,,,,
2018-03-12,,5164,,,,,,,,,,,
2018-03-13,,5290,,,,,,,,,,,
2018-03-14,,4940,,,,,,,,,,,
2018-03-15,,4888,,,,,,,,,,,
2018-03-16,,5086,,,,,,,,,,,
2018-03-19,,5059,,,,,,,,,,,
2018-03-20,,5245,,,,,,,,,,,
2018-03-21,,5182,,,,,,,,,,,
2018-03-22,,4944,,,,,,,,,,,
2018-03-23,,5187,,,,,,,,,,,
2018-03-26,,4875,,,,,,,,,,,
2018-03-27,,5121,,,,,,,,,,,
2018-03-28,,5086,,,,,,,,,,,
2018-03-29,,5222,,,,,,,,,,,
2018-03-30,,5261,,,,,,,,,,,
2018-04-02,,5055,,,,,,,,,,,
2018-04-03,,5053,,,,,,,,,,,
