date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2016-11-23,,12490.0,,,,,,,,,,,
2016-11-24,,12050.0,,,,,,,,,,,
2016-11-25,,14200.0,,,,,,,,,,,
2016-11-28,,14920.0,,,,,,,,,,,
2016-11-29,,15600.0,,,,,,,,,,,
2016-11-30,,13460.0,,,,,,,,,,,
2016-12-01,,12010.0,,,,,,,,,,,
2016-12-02,,11890.0,,,,,,,,,,,
2016-12-05,,11040.0,,,,,,,,,,,
2016-12-06,,11110.0,,,,,,,,,,,
2016-12-07,,11210.0,,,,,,,,,,,
2016-12-08,,8970.0,,,,,,,,,,,
2016-12-09,,8930.0,,,,,,,,,,,
2016-12-12,,7150.0,,,,,,,,,,,
2016-12-13,,6860.0,,,,,,,,,,,
2016-12-14,,7350.0,,,,,,,,,,,
2016-12-15,,7200.0,,,,,,,,,,,
2016-12-16,,8130.0,,,,,,,,,,,
2016-12-19,,8190.0,,,,,,,,,,,
2016-12-20,,8140.0,,,,,,,,,,,
2016-12-21,,7930.0,,,,,,,,,,,
2016-12-22,,7520.0,,,,,,,,,,,
2016-12-23,,8830.0,,,,,,,,,,,
2016-12-26,,7730.0,,,,,,,,,,,
2016-12-27,,7630.0,,,,,,,,,,,
2016-12-28,,7120.0,,,,,,,,,,,
2016-12-29,,7800.0,,,,,,,,,,,
2016-12-30,,7030.0,,,,,,,,,,,
2017-01-03,,6030.0,,,,,,,,,,,
2017-01-04,,7580.0,,,,,,,,,,,
2017-01-05,,6210.0,,,,,,,,,,,
2017-01-06,,7260.0,,,,,,,,,,,
2017-01-09,,6770.0,,,,,,,,,,,
2017-01-10,,6660.0,,,,,,,,,,,
2017-01-11,,5810.0,,,,,,,,,,,
2017-01-12,,6190.0,,,,,,,,,,,
2017-01-13,,7380.0,,,,,,,,,,,
2017-01-16,,7240.0,,,,,,,,,,,
2017-01-17,,8200.0,,,,,,,,,,,
2017-01-18,,7440.0,,,,,,,,,,,
2017-01-19,,8100.0,,,,,,,,,,,
2017-01-20,,8180.0,,,,,,,,,,,
2017-01-23,,7890.0,,,,,,,,,,,
2017-01-24,,6090.0,,,,,,,,,,,
2017-01-25,,6120.0,,,,,,,,,,,
2017-01-26,,5640.0,,,,,,,,,,,
2017-01-27,,3960.0,,,,,,,,,,,
2017-01-30,,5140.0,,,,,,,,,,,
2017-01-31,,5930.0,,,,,,,,,,,
2017-02-01,,5950.0,,,,,,,,,,,
2017-02-02,,6230.0,,,,,,,,,,,
2017-02-03,,5670.0,,,,,,,,,,,
2017-02-06,,5490.0,,,,,,,,,,,
2017-02-07,,5670.0,,,,,,,,,,,
2017-02-08,,5950.0,,,,,,,,,,,
2017-02-09,,6100.0,,,,,,,,,,,
2017-02-10,,5060.0,,,,,,,,,,,
2017-02-13,,5260.0,,,,,,,,,,,
2017-02-14,,4950.0,,,,,,,,,,,
2017-02-15,,5010.0,,,,,,,,,,,
2017-02-16,,5060.0,,,,,,,,,,,
2017-02-17,,5650.0,,,,,,,,,,,
2017-02-20,5240.0,5220.0,5240.0,5240.0,5240.0,5240.0,,1.0,1.0,116148.0,1.0,232296.0,2.0
2017-02-21,,5200.0,,,,,,,,,,230188.0,2.0
2017-02-22,,5690.0,,,,,,,,,,231886.0,2.0
2017-02-24,,5710.0,,,,,,,,,,233628.0,2.0
2017-02-27,,5820.0,,,,,,,,,,231761.0,2.0
2017-02-28,,6860.0,,,,,,,,,,233063.0,2.0
2017-03-01,,5600.0,,,,,,,,,,233844.0,2.0
2017-03-02,,7830.0,,,,,,,,,,234709.0,2.0
2017-03-03,,6550.0,,,,,,,,,,234004.0,2.0
2017-03-06,,5960.0,,,,,,,,,,232240.0,2.0
2017-03-07,,5690.0,,,,,,,,,,200000.0,2.0
2017-03-09,,7670.0,,,,,,,,,,200000.0,2.0
2017-03-10,,9110.0,,,,,,,,,,200000.0,2.0
2017-03-13,,8720.0,,,,,,,,,,200000.0,2.0
2017-03-14,,7380.0,,,,,,,,,,200000.0,2.0
2017-03-15,,6890.0,,,,,,,,,,200000.0,2.0
2017-03-16,,7470.0,,,,,,,,,,200000.0,2.0
2017-03-17,,6030.0,,,,,,,,,,200000.0,2.0
2017-03-20,,6630.0,,,,,,,,,,200000.0,2.0
2017-03-21,,5820.0,,,,,,,,,,200000.0,2.0
2017-03-22,,5710.0,,,,,,,,,,200000.0,2.0
2017-03-23,,5830.0,,,,,,,,,,200000.0,2.0
2017-03-24,,5440.0,,,,,,,,,,200000.0,2.0
2017-03-27,,6250.0,,,,,,,,,,200000.0,2.0
2017-03-28,,5630.0,,,,,,,,,,200000.0,2.0
2017-03-29,,5440.0,,,,,,,,,,200000.0,2.0
2017-03-30,,5010.0,,,,,,,,,,200000.0,2.0
2017-03-31,,6320.0,,,,,,,,,,200000.0,2.0
2017-04-03,,5110.0,,,,,,,,,,200000.0,2.0
2017-04-04,,5390.0,,,,,,,,,,200000.0,2.0
2017-04-05,,4430.0,,,,,,,,,,200000.0,2.0
2017-04-06,,4510.0,,,,,,,,,,200000.0,2.0
2017-04-07,,5280.0,,,,,,,,,,200000.0,2.0
2017-04-10,,6920.0,,,,,,,,,,200000.0,2.0
2017-04-11,,6070.0,,,,,,,,,,200000.0,2.0
2017-04-12,,6760.0,,,,,,,,,,200000.0,2.0
2017-04-13,,6900.0,,,,,,,,,,200000.0,2.0
2017-04-14,,7290.0,,,,,,,,,,200000.0,2.0
2017-04-17,,5920.0,,,,,,,,,,200000.0,2.0
2017-04-18,,6660.0,,,,,,,,,,200000.0,2.0
2017-04-19,,6890.0,,,,,,,,,,200000.0,2.0
2017-04-20,,6370.0,,,,,,,,,,200000.0,2.0
2017-04-21,,5630.0,,,,,,,,,,200000.0,2.0
2017-04-24,,5460.0,,,,,,,,,,200000.0,2.0
2017-04-25,,5110.0,,,,,,,,,,200000.0,2.0
2017-04-26,,5240.0,,,,,,,,,,200000.0,2.0
2017-04-27,,5170.0,,,,,,,,,,200000.0,2.0
2017-04-28,,5420.0,,,,,,,,,,200000.0,2.0
2017-05-02,,4860.0,,,,,,,,,,200000.0,2.0
2017-05-03,,5540.0,,,,,,,,,,200000.0,2.0
2017-05-04,,5690.0,,,,,,,,,,200000.0,2.0
2017-05-05,,6100.0,,,,,,,,,,200000.0,2.0
2017-05-10,,4510.0,,,,,,,,,,200000.0,2.0
2017-05-11,,4880.0,,,,,,,,,,200000.0,2.0
2017-05-12,,5610.0,,,,,,,,,,200000.0,2.0
2017-05-15,,4510.0,,,,,,,,,,200000.0,2.0
