date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2018-01-10,,42290,,,,,,,,,,,
2018-01-11,,41340,,,,,,,,,,,
2018-01-12,,42660,,,,,,,,,,,
2018-01-15,,47490,,,,,,,,,,,
2018-01-16,,47700,,,,,,,,,,,
2018-01-17,,47040,,,,,,,,,,,
2018-01-18,,47390,,,,,,,,,,,
2018-01-19,,47640,,,,,,,,,,,
2018-01-22,,46660,,,,,,,,,,,
2018-01-23,,46710,,,,,,,,,,,
2018-01-24,,47520,,,,,,,,,,,
2018-01-25,,47160,,,,,,,,,,,
2018-01-26,,48380,,,,,,,,,,,
2018-01-29,,46990,,,,,,,,,,,
2018-01-30,,47480,,,,,,,,,,,
2018-01-31,,46960,,,,,,,,,,,
2018-02-01,,48390,,,,,,,,,,,
2018-02-02,,46890,,,,,,,,,,,
2018-02-05,,46100,,,,,,,,,,,
2018-02-06,,43100,,,,,,,,,,,
2018-02-07,,42160,,,,,,,,,,,
2018-02-08,,39950,,,,,,,,,,,
2018-02-09,,37970,,,,,,,,,,,
2018-02-12,,33560,,,,,,,,,,,
2018-02-13,,42370,,,,,,,,,,,
2018-02-14,,45550,,,,,,,,,,,
2018-02-15,,47620,,,,,,,,,,,
2018-02-16,,44570,,,,,,,,,,,
2018-02-19,,43590,,,,,,,,,,,
2018-02-20,,42960,,,,,,,,,,,
2018-02-21,,44170,,,,,,,,,,,
2018-02-22,,46400,,,,,,,,,,,
2018-02-26,,50840,,,,,,,,,,,
2018-02-27,,50110,,,,,,,,,,,
2018-02-28,,47570,,,,,,,,,,,
2018-03-01,,47290,,,,,,,,,,,
2018-03-02,,45860,,,,,,,,,,,
2018-03-05,,46420,,,,,,,,,,,
2018-03-06,,48020,,,,,,,,,,,
2018-03-07,,46540,,,,,,,,,,,
2018-03-09,,48210,,,,,,,,,,,
2018-03-12,,48930,,,,,,,,,,,
2018-03-13,,47190,,,,,,,,,,,
2018-03-14,,46820,,,,,,,,,,,
2018-03-15,,46100,,,,,,,,,,,
2018-03-16,,46560,,,,,,,,,,,
2018-03-19,,44810,,,,,,,,,,,
2018-03-20,,46770,,,,,,,,,,,
2018-03-21,,48390,,,,,,,,,,,
2018-03-22,,45790,,,,,,,,,,,
2018-03-23,,46180,,,,,,,,,,,
2018-03-26,,43910,,,,,,,,,,,
2018-03-27,,45170,,,,,,,,,,,
2018-03-28,,43280,,,,,,,,,,,
2018-03-29,,44710,,,,,,,,,,,
2018-03-30,,45340,,,,,,,,,,,
2018-04-02,,43700,,,,,,,,,,,
2018-04-03,,43390,,,,,,,,,,,
2018-04-04,,43950,,,,,,,,,,,
2018-04-05,,44600,,,,,,,,,,,
2018-04-06,,43280,,,,,,,,,,,
2018-04-09,,47120,,,,,,,,,,,
2018-04-10,,46450,,,,,,,,,,,
2018-04-11,,46510,,,,,,,,,,,
2018-04-12,,34710,,,,,,,,,,,
2018-04-13,,30170,,,,,,,,,,,
2018-04-16,,32220,,,,,,,,,,,
2018-04-17,,35850,,,,,,,,,,,
2018-04-18,,37040,,,,,,,,,,,
2018-04-19,,36000,,,,,,,,,,,
2018-04-20,,36950,,,,,,,,,,,
2018-04-23,,36990,,,,,,,,,,,
2018-04-24,,37330,,,,,,,,,,,
2018-04-25,,36050,,,,,,,,,,,
2018-04-26,,37070,,,,,,,,,,,
2018-04-27,,38950,,,,,,,,,,,
2018-04-28,,37070,,,,,,,,,,,
2018-04-30,,35140,,,,,,,,,,,
2018-05-02,,33390,,,,,,,,,,,
2018-05-03,,32840,,,,,,,,,,,
2018-05-04,,36020,,,,,,,,,,,
2018-05-07,,35720,,,,,,,,,,,
2018-05-08,,34280,,,,,,,,,,,
2018-05-10,,38700,,,,,,,,,,,
2018-05-11,,39600,,,,,,,,,,,
2018-05-14,,40240,,,,,,,,,,,
2018-05-15,,37970,,,,,,,,,,,
2018-05-16,,39490,,,,,,,,,,,
2018-05-17,,39130,,,,,,,,,,,
2018-05-18,,36630,,,,,,,,,,,
2018-05-21,,40830,,,,,,,,,,,
2018-05-22,,41310,,,,,,,,,,,
2018-05-23,,39020,,,,,,,,,,,
2018-05-24,,38550,,,,,,,,,,,
2018-05-25,,38660,,,,,,,,,,,
2018-05-28,,38360,,,,,,,,,,,
2018-05-29,,36000,,,,,,,,,,,
2018-05-30,,38240,,,,,,,,,,,
2018-05-31,,36750,,,,,,,,,,,
2018-06-01,,37700,,,,,,,,,,,
2018-06-04,,38430,,,,,,,,,,,
2018-06-05,,37600,,,,,,,,,,,
2018-06-06,,37650,,,,,,,,,,,
2018-06-07,,39730,,,,,,,,,,,
2018-06-08,,36550,,,,,,,,,,,
2018-06-09,,36740,,,,,,,,,,,
2018-06-11,,37330,,,,,,,,,,,
2018-06-13,,36600,,,,,,,,,,,
2018-06-14,,35590,,,,,,,,,,,
2018-06-15,,33900,,,,,,,,,,,
2018-06-18,,32740,,,,,,,,,,,
2018-06-19,,33430,,,,,,,,,,,
2018-06-20,,34780,,,,,,,,,,,
2018-06-21,,34160,,,,,,,,,,,
2018-06-22,,36180,,,,,,,,,,,
2018-06-25,,36000,,,,,,,,,,,
2018-06-26,,35780,,,,,,,,,,,
2018-06-27,,36890,,,,,,,,,,,
2018-06-28,,36580,,,,,,,,,,,
2018-06-29,,38020,,,,,,,,,,,
2018-07-02,,39000,,,,,,,,,,,
2018-07-03,,38500,,,,,,,,,,,
2018-07-04,,37710,,,,,,,,,,,
2018-07-05,,39640,,,,,,,,,,,
2018-07-06,,39040,,,,,,,,,,,
2018-07-09,,41070,,,,,,,,,,,
2018-07-10,,40730,,,,,,,,,,,
2018-07-11,,41340,,,,,,,,,,,
2018-07-12,,39870,,,,,,,,,,,
2018-07-13,,40740,,,,,,,,,,,
2018-07-16,,40240,,,,,,,,,,,
2018-07-17,,39160,,,,,,,,,,,
2018-07-18,,38610,,,,,,,,,,,
2018-07-19,,36230,,,,,,,,,,,
2018-07-20,,38150,,,,,,,,,,,
2018-07-23,,38540,,,,,,,,,,,
2018-07-24,,40020,,,,,,,,,,,
2018-07-25,,39540,,,,,,,,,,,
2018-07-26,,40230,,,,,,,,,,,
2018-07-27,,40830,,,,,,,,,,,
2018-07-30,,40640,,,,,,,,,,,
2018-07-31,,41220,,,,,,,,,,,
2018-08-01,,40200,,,,,,,,,,,
2018-08-02,,38100,,,,,,,,,,,
2018-08-03,,37400,,,,,,,,,,,
2018-08-06,,36950,,,,,,,,,,,
2018-08-07,,38220,,,,,,,,,,,
2018-08-08,,36270,,,,,,,,,,,
2018-08-09,,32800,,,,,,,,,,,
2018-08-10,,29720,,,,,,,,,,,
2018-08-13,,28990,,,,,,,,,,,
2018-08-14,,33590,,,,,,,,,,,
2018-08-15,,30530,,,,,,,,,,,
2018-08-16,,30170,,,,,,,,,,,
2018-08-17,,29650,,,,,,,,,,,
2018-08-20,,29710,,,,,,,,,,,
2018-08-21,,29880,,,,,,,,,,,
2018-08-22,,30380,,,,,,,,,,,
2018-08-23,,28430,,,,,,,,,,,
2018-08-24,,30020,,,,,,,,,,,
2018-08-27,,33770,,,,,,,,,,,
2018-08-28,,33260,,,,,,,,,,,
2018-08-29,,32980,,,,,,,,,,,
2018-08-30,,33120,,,,,,,,,,,
2018-08-31,,33190,,,,,,,,,,,
2018-09-03,,32370,,,,,,,,,,,
2018-09-04,,33030,,,,,,,,,,,
2018-09-05,,31730,,,,,,,,,,,
2018-09-06,,30320,,,,,,,,,,,
2018-09-07,,30470,,,,,,,,,,,
2018-09-10,,29300,,,,,,,,,,,
2018-09-11,,30400,,,,,,,,,,,
2018-09-12,,31430,,,,,,,,,,,
2018-09-13,,32820,,,,,,,,,,,
2018-09-14,,33770,,,,,,,,,,,
2018-09-17,,33370,,,,,,,,,,,
2018-09-18,,34230,,,,,,,,,,,
2018-09-19,,35630,,,,,,,,,,,
2018-09-20,,37350,,,,,,,,,,,
2018-09-21,,35680,,,,,,,,,,,
2018-09-24,,37370,,,,,,,,,,,
2018-09-25,,37760,,,,,,,,,,,
2018-09-26,,37950,,,,,,,,,,,
2018-09-27,,39520,,,,,,,,,,,
2018-09-28,,39970,,,,,,,,,,,
2018-10-01,,39520,,,,,,,,,,,
2018-10-02,,39630,,,,,,,,,,,
2018-10-03,,40790,,,,,,,,,,,
2018-10-04,,37650,,,,,,,,,,,
2018-10-05,,37320,,,,,,,,,,,
2018-10-08,,37640,,,,,,,,,,,
2018-10-09,,37500,,,,,,,,,,,
2018-10-10,,35630,,,,,,,,,,,
2018-10-11,,34560,,,,,,,,,,,
2018-10-12,,36560,,,,,,,,,,,
2018-10-15,,36900,,,,,,,,,,,
2018-10-16,,37030,,,,,,,,,,,
2018-10-17,,38060,,,,,,,,,,,
2018-10-18,,36690,,,,,,,,,,,
2018-10-19,,34580,,,,,,,,,,,
