date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2015-09-18,,4910.0,,,,,,,,,,,
2015-09-21,,3180.0,,,,,,,,,,,
2015-09-22,,4980.0,,,,,,,,,,,
2015-09-23,,5620.0,,,,,,,,,,,
2015-09-24,,5600.0,,,,,,,,,,,
2015-09-25,,3870.0,,,,,,,,,,,
2015-09-28,,4650.0,,,,,,,,,,,
2015-09-29,,4440.0,,,,,,,,,,,
2015-09-30,,3350.0,,,,,,,,,,,
2015-10-01,,3800.0,,,,,,,,,,,
2015-10-02,,4480.0,,,,,,,,,,,
2015-10-05,,4600.0,,,,,,,,,,,
2015-10-06,,4640.0,,,,,,,,,,,
2015-10-07,,4980.0,,,,,,,,,,,
2015-10-08,,6680.0,,,,,,,,,,,
2015-10-09,,6230.0,,,,,,,,,,,
2015-10-12,,5150.0,,,,,,,,,,,
2015-10-13,,5520.0,,,,,,,,,,,
2015-10-14,,5980.0,,,,,,,,,,,
2015-10-15,,7700.0,,,,,,,,,,,
2015-10-16,,6350.0,,,,,,,,,,,
2015-10-19,,6560.0,,,,,,,,,,,
2015-10-20,,5620.0,,,,,,,,,,,
2015-10-21,,5760.0,,,,,,,,,,,
2015-10-22,,6690.0,,,,,,,,,,,
2015-10-23,,7000.0,,,,,,,,,,,
2015-10-26,,6010.0,,,,,,,,,,,
2015-10-27,,6630.0,,,,,,,,,,,
2015-10-28,,6080.0,,,,,,,,,,,
2015-10-29,,6150.0,,,,,,,,,,,
2015-10-30,,5300.0,,,,,,,,,,,
2015-11-02,,5300.0,,,,,,,,,,,
2015-11-03,,5520.0,,,,,,,,,,,
2015-11-05,,5080.0,,,,,,,,,,,
2015-11-06,,6890.0,,,,,,,,,,,
2015-11-09,,6730.0,,,,,,,,,,,
2015-11-10,,5450.0,,,,,,,,,,,
2015-11-11,,5270.0,,,,,,,,,,,
2015-11-12,,5930.0,,,,,,,,,,,
2015-11-13,,5230.0,,,,,,,,,,,
2015-11-16,,5120.0,,,,,,,,,,,
2015-11-17,,5980.0,,,,,,,,,,,
2015-11-18,,5300.0,,,,,,,,,,,
2015-11-19,,6240.0,,,,,,,,,,,
2015-11-20,,5930.0,,,,,,,,,,,
2015-11-23,,6040.0,,,,,,,,,,,
2015-11-24,,6930.0,,,,,,,,,,,
2015-11-25,,6440.0,,,,,,,,,,,
2015-11-26,,6610.0,,,,,,,,,,,
2015-11-27,,5850.0,,,,,,,,,,,
2015-11-30,,6680.0,,,,,,,,,,,
2015-12-01,,5240.0,,,,,,,,,,,
2015-12-02,,5620.0,,,,,,,,,,,
2015-12-03,,6960.0,,,,,,,,,,,
2015-12-04,,6290.0,,,,,,,,,,,
2015-12-07,,5070.0,,,,,,,,,,,
2015-12-08,,5130.0,,,,,,,,,,,
2015-12-09,,5510.0,,,,,,,,,,,
2015-12-10,,6390.0,,,,,,,,,,,
2015-12-11,,4760.0,,,,,,,,,,,
2015-12-14,,3220.0,,,,,,,,,,,
2015-12-15,,3610.0,,,,,,,,,,,
2015-12-16,,4600.0,,,,,,,,,,,
2015-12-17,,3960.0,,,,,,,,,,,
2015-12-18,,4540.0,,,,,,,,,,,
2015-12-21,,5220.0,,,,,,,,,,,
2015-12-22,,3740.0,,,,,,,,,,,
2015-12-23,,5280.0,,,,,,,,,,,
2015-12-24,,4400.0,,,,,,,,,,,
2015-12-25,,4770.0,,,,,,,,,,,
2015-12-28,,3630.0,,,,,,,,,,,
2015-12-29,,5610.0,,,,,,,,,,,
2015-12-30,,4970.0,,,,,,,,,,,
2016-01-04,,6580.0,,,,,,,,,,,
2016-01-05,,5430.0,,,,,,,,,,,
2016-01-06,,5790.0,,,,,,,,,,,
2016-01-11,,4330.0,,,,,,,,,,,
2016-01-12,,2830.0,,,,,,,,,,,
2016-01-13,,3090.0,,,,,,,,,,,
2016-01-14,,4000.0,,,,,,,,,,,
2016-01-15,,3450.0,,,,,,,,,,,
2016-01-18,,2320.0,,,,,,,,,,,
2016-01-19,,2950.0,,,,,,,,,,,
2016-01-20,,3300.0,,,,,,,,,,,
2016-01-21,,2410.0,,,,,,,,,,,
2016-01-22,,2800.0,,,,,,,,,,,
2016-01-25,,3400.0,,,,,,,,,,,
2016-01-26,,2630.0,,,,,,,,,,,
2016-01-27,,3300.0,,,,,,,,,,,
2016-01-28,,3870.0,,,,,,,,,,,
2016-01-29,,4730.0,,,,,,,,,,,
2016-02-01,,3900.0,,,,,,,,,,,
2016-02-02,,3700.0,,,,,,,,,,,
2016-02-03,,4320.0,,,,,,,,,,,
2016-02-04,,3790.0,,,,,,,,,,,
2016-02-05,,4600.0,,,,,,,,,,,
2016-02-08,,4130.0,,,,,,,,,,,
2016-02-09,,3120.0,,,,,,,,,,,
2016-02-10,,4050.0,,,,,,,,,,,
2016-02-11,,4090.0,,,,,,,,,,,
2016-02-12,,3380.0,,,,,,,,,,,
2016-02-15,,3550.0,,,,,,,,,,,
2016-02-16,,3230.0,,,,,,,,,,,
2016-02-17,,3200.0,,,,,,,,,,,
2016-02-18,,4130.0,,,,,,,,,,,
2016-02-19,,2700.0,,,,,,,,,,,
2016-02-20,,3420.0,,,,,,,,,,,
2016-02-22,,3340.0,,,,,,,,,,,
2016-02-24,,3840.0,,,,,,,,,,,
2016-02-25,,4080.0,,,,,,,,,,,
2016-02-26,,3480.0,,,,,,,,,,,
2016-02-29,,4160.0,,,,,,,,,,,
2016-03-01,,4010.0,,,,,,,,,,,
2016-03-02,,3830.0,,,,,,,,,,,
2016-03-03,,3940.0,,,,,,,,,,,
2016-03-04,,4470.0,,,,,,,,,,,
2016-03-07,,4900.0,,,,,,,,,,,
2016-03-09,,4390.0,,,,,,,,,,,
2016-03-10,,5460.0,,,,,,,,,,,
2016-03-11,,4510.0,,,,,,,,,,,
2016-03-14,,3700.0,,,,,,,,,,,
2016-03-15,,4350.0,,,,,,,,,,,
2016-03-16,,4140.0,,,,,,,,,,,
2016-03-17,,5340.0,,,,,,,,,,,
2016-03-18,,5070.0,,,,,,,,,,,
2016-03-21,,4620.0,,,,,,,,,,,
2016-03-22,,4780.0,,,,,,,,,,,
2016-03-23,,3320.0,,,,,,,,,,,
2016-03-24,,4960.0,,,,,,,,,,,
2016-03-25,,5390.0,,,,,,,,,,,
2016-03-28,,4340.0,,,,,,,,,,,
2016-03-29,,4480.0,,,,,,,,,,,
2016-03-30,,5230.0,,,,,,,,,,,
2016-03-31,,5360.0,,,,,,,,,,,
2016-04-01,,5160.0,,,,,,,,,,,
2016-04-04,,5420.0,,,,,,,,,,,
2016-04-05,,5380.0,,,,,,,,,,,
2016-04-06,,5920.0,,,,,,,,,,,
2016-04-07,,5180.0,,,,,,,,,,,
2016-04-08,,5280.0,,,,,,,,,,,
2016-04-11,,4460.0,,,,,,,,,,,
2016-04-12,,4520.0,,,,,,,,,,,
2016-04-13,,4580.0,,,,,,,,,,,
2016-04-14,,5200.0,,,,,,,,,,,
2016-04-15,,5020.0,,,,,,,,,,,
2016-04-18,,5060.0,,,,,,,,,,,
2016-04-19,,4550.0,,,,,,,,,,,
2016-04-20,,4890.0,,,,,,,,,,,
2016-04-21,,5620.0,,,,,,,,,,,
