date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2016-08-04,,22360.0,,,,,,,,,,,
2016-08-05,,20410.0,,,,,,,,,,,
2016-08-08,,18140.0,,,,,,,,,,,
2016-08-09,,19600.0,,,,,,,,,,,
2016-08-10,,19820.0,,,,,,,,,,,
2016-08-11,,20010.0,,,,,,,,,,,
2016-08-12,,19020.0,,,,,,,,,,,
2016-08-15,,17540.0,,,,,,,,,,,
2016-08-16,,19240.0,,,,,,,,,,,
2016-08-17,,16860.0,,,,,,,,,,,
2016-08-18,,19860.0,,,,,,,,,,,
2016-08-19,,16340.0,,,,,,,,,,,
2016-08-22,,17000.0,,,,,,,,,,,
2016-08-23,,17020.0,,,,,,,,,,,
2016-08-24,,18100.0,,,,,,,,,,,
2016-08-25,,17900.0,,,,,,,,,,,
2016-08-26,,19050.0,,,,,,,,,,,
2016-08-29,,18490.0,,,,,,,,,,,
2016-08-30,,18480.0,,,,,,,,,,,
2016-08-31,,18660.0,,,,,,,,,,,
2016-09-01,,19110.0,,,,,,,,,,,
2016-09-02,,17390.0,,,,,,,,,,,
2016-09-05,,16280.0,,,,,,,,,,,
2016-09-06,,15100.0,,,,,,,,,,,
2016-09-07,,14490.0,,,,,,,,,,,
2016-09-08,,15240.0,,,,,,,,,,,
2016-09-09,,15100.0,,,,,,,,,,,
2016-09-12,,16030.0,,,,,,,,,,,
2016-09-13,,16640.0,,,,,,,,,,,
2016-09-14,,16430.0,,,,,,,,,,,
2016-09-15,,17980.0,,,,,,,,,,,
2016-09-16,,19080.0,,,,,,,,,,,
2016-09-19,,17750.0,,,,,,,,,,,
2016-09-20,,17730.0,,,,,,,,,,,
2016-09-21,,17180.0,,,,,,,,,,,
2016-09-22,,15590.0,,,,,,,,,,,
2016-09-23,,15970.0,,,,,,,,,,,
2016-09-26,,16150.0,,,,,,,,,,,
2016-09-27,,16550.0,,,,,,,,,,,
2016-09-28,,17060.0,,,,,,,,,,,
2016-09-29,,16290.0,,,,,,,,,,,
2016-09-30,,16600.0,,,,,,,,,,,
2016-10-03,,16380.0,,,,,,,,,,,
2016-10-04,,16540.0,,,,,,,,,,,
2016-10-05,,16670.0,,,,,,,,,,,
2016-10-06,,16440.0,,,,,,,,,,,
2016-10-07,,15830.0,,,,,,,,,,,
2016-10-10,,16210.0,,,,,,,,,,,
2016-10-11,,17140.0,,,,,,,,,,,
2016-10-12,,16900.0,,,,,,,,,,,
2016-10-13,,16820.0,,,,,,,,,,,
2016-10-14,,16070.0,,,,,,,,,,,
2016-10-17,,16730.0,,,,,,,,,,,
2016-10-18,,17310.0,,,,,,,,,,,
2016-10-19,,16910.0,,,,,,,,,,,
2016-10-20,,16320.0,,,,,,,,,,,
2016-10-21,,16130.0,,,,,,,,,,,
2016-10-24,,16070.0,,,,,,,,,,,
2016-10-25,,16940.0,,,,,,,,,,,
2016-10-26,,15680.0,,,,,,,,,,,
2016-10-27,,15530.0,,,,,,,,,,,
2016-10-28,,15880.0,,,,,,,,,,,
2016-10-31,,17160.0,,,,,,,,,,,
2016-11-01,,16410.0,,,,,,,,,,,
2016-11-02,,17350.0,,,,,,,,,,,
2016-11-03,,17500.0,,,,,,,,,,,
2016-11-07,,17480.0,,,,,,,,,,,
2016-11-08,,16300.0,,,,,,,,,,,
2016-11-09,13000.0,17270.0,13000.0,13000.0,13000.0,13000.0,,1.0,1.0,124784.0,1.0,249568.0,2.0
2016-11-10,,15340.0,,,,,,,,,,252698.0,2.0
2016-11-11,9950.0,17160.0,9950.0,9950.0,9950.0,9950.0,,1.0,1.0,128703.0,1.0,514812.0,4.0
2016-11-14,,17660.0,,,,,,,,,,516682.0,4.0
2016-11-15,,18150.0,,,,,,,,,,505178.0,4.0
2016-11-16,,15920.0,,,,,,,,,,505523.0,4.0
2016-11-17,,14760.0,,,,,,,,,,502815.0,4.0
2016-11-18,10660.0,14970.0,10660.0,10660.0,10660.0,10660.0,,1.0,1.0,126100.0,1.0,756599.0,6.0
2016-11-21,,15300.0,,,,,,,,,,748724.0,6.0
2016-11-22,,13750.0,,,,,,,,,,748381.0,6.0
2016-11-23,,15270.0,,,,,,,,,,756445.0,6.0
2016-11-24,,14570.0,,,,,,,,,,753343.0,6.0
2016-11-25,,15280.0,,,,,,,,,,758167.0,6.0
2016-11-28,,14900.0,,,,,,,,,,756355.0,6.0
2016-11-29,,15540.0,,,,,,,,,,764926.0,6.0
2016-11-30,8015.0,13110.0,8010.0,8020.0,8010.0,8020.0,,1.0,2.0,251404.0,2.0,754211.0,6.0
2016-12-01,,11890.0,,,,,,,,,,747191.0,6.0
2016-12-02,,14190.0,,,,,,,,,,747089.0,6.0
2016-12-05,,14610.0,,,,,,,,,,745163.0,6.0
2016-12-06,,14010.0,,,,,,,,,,748185.0,6.0
2016-12-07,,14100.0,,,,,,,,,,745723.0,6.0
2016-12-08,,13070.0,,,,,,,,,,741302.0,6.0
2016-12-09,,11870.0,,,,,,,,,,733594.0,6.0
2016-12-12,,10200.0,,,,,,,,,,715687.0,6.0
2016-12-13,,10760.0,,,,,,,,,,711780.0,6.0
2016-12-14,,11630.0,,,,,,,,,,716118.0,6.0
2016-12-15,,11210.0,,,,,,,,,,723608.0,6.0
2016-12-16,,10480.0,,,,,,,,,,721435.0,6.0
2016-12-19,,11680.0,,,,,,,,,,722111.0,6.0
2016-12-20,,11190.0,,,,,,,,,,718526.0,6.0
2016-12-21,,10560.0,,,,,,,,,,714012.0,6.0
2016-12-22,,10790.0,,,,,,,,,,711320.0,6.0
2016-12-23,,12160.0,,,,,,,,,,716333.0,6.0
2016-12-26,,11860.0,,,,,,,,,,713712.0,6.0
2016-12-27,,11510.0,,,,,,,,,,710575.0,6.0
2016-12-28,,11250.0,,,,,,,,,,706739.0,6.0
2016-12-29,14980.0,10100.0,14980.0,14980.0,14980.0,14980.0,,1.0,1.0,118456.0,1.0,710736.0,6.0
2016-12-30,,7220.0,,,,,,,,,,714222.0,6.0
2017-01-03,,9890.0,,,,,,,,,,707808.0,6.0
2017-01-04,,8460.0,,,,,,,,,,709024.0,6.0
2017-01-05,,8070.0,,,,,,,,,,693092.0,6.0
2017-01-06,,8820.0,,,,,,,,,,695951.0,6.0
2017-01-09,,8330.0,,,,,,,,,,700748.0,6.0
2017-01-10,,7980.0,,,,,,,,,,702053.0,6.0
2017-01-11,,6800.0,,,,,,,,,,707705.0,6.0
2017-01-12,,8580.0,,,,,,,,,,693344.0,6.0
2017-01-13,,10300.0,,,,,,,,,,697025.0,6.0
2017-01-16,,8730.0,,,,,,,,,,700492.0,6.0
2017-01-17,,9300.0,,,,,,,,,,694256.0,6.0
2017-01-18,,8620.0,,,,,,,,,,693523.0,6.0
2017-01-19,,9810.0,,,,,,,,,,700658.0,6.0
2017-01-20,,9990.0,,,,,,,,,,698300.0,6.0
2017-01-23,,9370.0,,,,,,,,,,694960.0,6.0
2017-01-24,,8180.0,,,,,,,,,,693398.0,6.0
2017-01-25,,9140.0,,,,,,,,,,693067.0,6.0
2017-01-26,,8690.0,,,,,,,,,,706748.0,6.0
2017-01-27,,5850.0,,,,,,,,,,699839.0,6.0
2017-01-30,,7840.0,,,,,,,,,,701784.0,6.0
2017-01-31,,8230.0,,,,,,,,,,701094.0,6.0
