date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2016-09-12,,3367,,,,,,,,,,,
2016-09-13,,3209,,,,,,,,,,,
2016-09-14,,3338,,,,,,,,,,,
2016-09-15,,3171,,,,,,,,,,,
2016-09-16,,3095,,,,,,,,,,,
2016-09-19,,3135,,,,,,,,,,,
2016-09-20,,3159,,,,,,,,,,,
2016-09-21,,3074,,,,,,,,,,,
2016-09-22,,3396,,,,,,,,,,,
2016-09-23,,3107,,,,,,,,,,,
2016-09-26,,2932,,,,,,,,,,,
2016-09-27,,2840,,,,,,,,,,,
2016-09-28,,2786,,,,,,,,,,,
2016-09-29,,2926,,,,,,,,,,,
2016-09-30,,2622,,,,,,,,,,,
2016-10-03,,2922,,,,,,,,,,,
2016-10-04,,2866,,,,,,,,,,,
2016-10-05,,2872,,,,,,,,,,,
2016-10-06,,3025,,,,,,,,,,,
2016-10-07,,2953,,,,,,,,,,,
2016-10-10,,3205,,,,,,,,,,,
2016-10-11,,3222,,,,,,,,,,,
2016-10-12,,3012,,,,,,,,,,,
2016-10-13,,2859,,,,,,,,,,,
2016-10-14,,2795,,,,,,,,,,,
2016-10-17,,2607,,,,,,,,,,,
2016-10-18,,2724,,,,,,,,,,,
2016-10-19,,2840,,,,,,,,,,,
2016-10-20,,2774,,,,,,,,,,,
2016-10-21,,2801,,,,,,,,,,,
2016-10-24,,3030,,,,,,,,,,,
2016-10-25,,3366,,,,,,,,,,,
2016-10-26,,3160,,,,,,,,,,,
2016-10-27,,3031,,,,,,,,,,,
2016-10-28,,2986,,,,,,,,,,,
2016-10-31,,2904,,,,,,,,,,,
2016-11-01,,2665,,,,,,,,,,,
2016-11-02,,2410,,,,,,,,,,,
2016-11-03,,2330,,,,,,,,,,,
2016-11-07,,2316,,,,,,,,,,,
2016-11-08,,2528,,,,,,,,,,,
2016-11-09,,3004,,,,,,,,,,,
2016-11-10,,3361,,,,,,,,,,,
2016-11-11,,3230,,,,,,,,,,,
2016-11-14,,3121,,,,,,,,,,,
2016-11-15,,3016,,,,,,,,,,,
2016-11-16,,3015,,,,,,,,,,,
2016-11-17,,3078,,,,,,,,,,,
2016-11-18,,3036,,,,,,,,,,,
2016-11-21,,3211,,,,,,,,,,,
2016-11-22,,3354,,,,,,,,,,,
2016-11-23,,3477,,,,,,,,,,,
2016-11-24,,3859,,,,,,,,,,,
2016-11-25,,3844,,,,,,,,,,,
2016-11-28,,3769,,,,,,,,,,,
2016-11-29,,3583,,,,,,,,,,,
2016-11-30,,3678,,,,,,,,,,,
2016-12-01,,3649,,,,,,,,,,,
2016-12-02,,3733,,,,,,,,,,,
2016-12-05,,3970,,,,,,,,,,,
2016-12-06,,3699,,,,,,,,,,,
2016-12-07,,3746,,,,,,,,,,,
2016-12-08,,4584,,,,,,,,,,,
2016-12-09,,4661,,,,,,,,,,,
2016-12-12,,5309,,,,,,,,,,,
2016-12-13,,5396,,,,,,,,,,,
2016-12-14,,5101,,,,,,,,,,,
2016-12-15,,5191,,,,,,,,,,,
2016-12-16,,5091,,,,,,,,,,,
2016-12-19,,5132,,,,,,,,,,,
2016-12-20,,5281,,,,,,,,,,,
2016-12-21,,5103,,,,,,,,,,,
2016-12-22,,4687,,,,,,,,,,,
2016-12-23,,4770,,,,,,,,,,,
2016-12-26,,4824,,,,,,,,,,,
2016-12-27,,4896,,,,,,,,,,,
2016-12-28,,4685,,,,,,,,,,,
2016-12-29,,4801,,,,,,,,,,,
2016-12-30,,4954,,,,,,,,,,,
2017-01-03,,5653,,,,,,,,,,,
2017-01-04,,5153,,,,,,,,,,,
2017-01-05,,4774,,,,,,,,,,,
2017-01-06,,4656,,,,,,,,,,,
2017-01-09,,4400,,,,,,,,,,,
2017-01-10,,4726,,,,,,,,,,,
2017-01-11,,4491,,,,,,,,,,,
