date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2016-09-12,,880.0,,,,,,,,,,,
2016-09-13,,963.0,,,,,,,,,,,
2016-09-14,,907.0,,,,,,,,,,,
2016-09-15,,954.0,,,,,,,,,,,
2016-09-16,,1036.0,,,,,,,,,,,
2016-09-19,,938.0,,,,,,,,,,,
2016-09-20,,915.0,,,,,,,,,,,
2016-09-21,,517.0,,,,,,,,,,,
2016-09-22,,419.0,,,,,,,,,,,
2016-09-23,,456.0,,,,,,,,,,,
2016-09-26,,631.0,,,,,,,,,,,
2016-09-27,,677.0,,,,,,,,,,,
2016-09-28,,687.0,,,,,,,,,,,
2016-09-29,,641.0,,,,,,,,,,,
2016-09-30,,762.0,,,,,,,,,,,
2016-10-03,,609.0,,,,,,,,,,,
2016-10-04,,707.0,,,,,,,,,,,
2016-10-05,,698.0,,,,,,,,,,,
2016-10-06,,852.0,,,,,,,,,,,
2016-10-07,,824.0,,,,,,,,,,,
2016-10-10,,762.0,,,,,,,,,,,
2016-10-11,,769.0,,,,,,,,,,,
2016-10-12,,835.0,,,,,,,,,,,
2016-10-13,,1033.0,,,,,,,,,,,
2016-10-14,,895.0,,,,,,,,,,,
2016-10-17,,590.0,,,,,,,,,,,
2016-10-18,,588.0,,,,,,,,,,,
2016-10-19,,546.0,,,,,,,,,,,
2016-10-20,,555.0,,,,,,,,,,,
2016-10-21,,596.0,,,,,,,,,,,
2016-10-24,,718.0,,,,,,,,,,,
2016-10-25,,848.0,,,,,,,,,,,
2016-10-26,,807.0,,,,,,,,,,,
2016-10-27,,741.0,,,,,,,,,,,
2016-10-28,,718.0,,,,,,,,,,,
2016-10-31,,864.0,,,,,,,,,,,
2016-11-01,,790.0,,,,,,,,,,,
2016-11-02,,978.0,,,,,,,,,,,
2016-11-03,,904.0,,,,,,,,,,,
2016-11-07,,734.0,,,,,,,,,,,
2016-11-08,,688.0,,,,,,,,,,,
2016-11-09,,634.0,,,,,,,,,,,
2016-11-10,,771.0,,,,,,,,,,,
2016-11-11,,853.0,,,,,,,,,,,
2016-11-14,,914.0,,,,,,,,,,,
2016-11-15,,760.0,,,,,,,,,,,
2016-11-16,,815.0,,,,,,,,,,,
2016-11-17,,778.0,,,,,,,,,,,
2016-11-18,,756.0,,,,,,,,,,,
2016-11-21,,624.0,,,,,,,,,,,
2016-11-22,,541.0,,,,,,,,,,,
2016-11-23,,572.0,,,,,,,,,,,
2016-11-24,,387.0,,,,,,,,,,,
2016-11-25,,405.0,,,,,,,,,,,
2016-11-28,,379.0,,,,,,,,,,,
2016-11-29,,400.0,,,,,,,,,,,
2016-11-30,,351.0,,,,,,,,,,,
2016-12-01,,362.0,,,,,,,,,,,
2016-12-02,,358.0,,,,,,,,,,,
2016-12-05,,289.0,,,,,,,,,,,
2016-12-06,,311.0,,,,,,,,,,,
2016-12-07,,278.0,,,,,,,,,,,
2016-12-08,,149.0,,,,,,,,,,,
2016-12-09,,206.0,,,,,,,,,,,
2016-12-12,,185.0,,,,,,,,,,,
2016-12-13,,205.0,,,,,,,,,,,
2016-12-14,,201.0,,,,,,,,,,,
2016-12-15,190.0,163.0,190.0,190.0,190.0,190.0,,1.0,1.0,14750.0,1.0,29500.0,2.0
2016-12-16,,153.0,,,,,,,,,,29500.0,2.0
2016-12-19,,126.0,,,,,,,,,,29500.0,2.0
2016-12-20,122.0,112.0,122.0,122.0,122.0,122.0,,1.0,1.0,14750.0,1.0,59000.0,4.0
2016-12-21,,96.0,,,,,,,,,,59000.0,4.0
2016-12-22,,129.0,,,,,,,,,,59000.0,4.0
2016-12-23,,122.0,,,,,,,,,,59000.0,4.0
2016-12-26,,112.0,,,,,,,,,,59000.0,4.0
2016-12-27,,116.0,,,,,,,,,,59000.0,4.0
2016-12-28,,134.0,,,,,,,,,,59000.0,4.0
2016-12-29,,124.0,,,,,,,,,,59000.0,4.0
2016-12-30,,135.0,,,,,,,,,,59000.0,4.0
2017-01-03,,70.0,,,,,,,,,,59000.0,4.0
2017-01-04,,95.0,,,,,,,,,,59000.0,4.0
2017-01-05,,86.0,,,,,,,,,,59000.0,4.0
2017-01-06,,101.0,,,,,,,,,,59000.0,4.0
2017-01-09,,128.0,,,,,,,,,,59000.0,4.0
2017-01-10,,80.0,,,,,,,,,,59000.0,4.0
2017-01-11,,82.0,,,,,,,,,,59000.0,4.0
2017-01-12,,103.0,,,,,,,,,,59000.0,4.0
2017-01-13,,141.0,,,,,,,,,,59000.0,4.0
2017-01-16,,110.0,,,,,,,,,,59000.0,4.0
2017-01-17,,109.0,,,,,,,,,,59000.0,4.0
2017-01-18,,85.0,,,,,,,,,,59000.0,4.0
2017-01-19,,121.0,,,,,,,,,,59000.0,4.0
2017-01-20,,95.0,,,,,,,,,,59000.0,4.0
2017-01-23,,81.0,,,,,,,,,,59000.0,4.0
2017-01-24,,57.0,,,,,,,,,,59000.0,4.0
2017-01-25,,55.0,,,,,,,,,,59000.0,4.0
2017-01-26,,37.0,,,,,,,,,,59000.0,4.0
2017-01-27,,27.0,,,,,,,,,,59000.0,4.0
2017-01-30,,29.0,,,,,,,,,,59000.0,4.0
2017-01-31,,29.0,,,,,,,,,,59000.0,4.0
2017-02-01,,28.0,,,,,,,,,,59000.0,4.0
2017-02-02,,28.0,,,,,,,,,,59000.0,4.0
2017-02-03,,25.0,,,,,,,,,,59000.0,4.0
2017-02-06,,25.0,,,,,,,,,,59000.0,4.0
2017-02-07,,27.0,,,,,,,,,,59000.0,4.0
2017-02-08,,26.0,,,,,,,,,,59000.0,4.0
2017-02-09,27.0,29.0,27.0,27.0,27.0,27.0,,150.0,1.0,2212500.0,150.0,4454500.0,302.0
2017-02-10,37.0,38.0,37.0,37.0,37.0,37.0,37.04,1.0,2.0,5177250.0,351.0,14809000.0,1004.0
2017-02-13,40.0,38.0,40.0,40.0,40.0,40.0,8.11,1.0,2.0,457250.0,31.0,15723500.0,1066.0
2017-02-14,40.0,51.0,40.0,40.0,34.0,40.0,,269.0,3.0,3997250.0,271.0,23688500.0,1606.0
2017-02-15,40.0,36.0,49.0,66.0,12.0,28.0,-30.0,3.0,11.0,1268500.0,86.0,24986500.0,1694.0
2017-02-16,34.0,31.0,35.0,56.0,13.0,32.0,14.29,9.0,16.0,3717000.0,252.0,31771500.0,2154.0
2017-02-17,,31.0,,,,,,,,,,31771500.0,2154.0
2017-02-20,32.0,24.0,50.0,50.0,18.0,18.0,,9.0,4.0,265500.0,18.0,32302500.0,2190.0
2017-02-21,,15.0,,,,,,,,,,32302500.0,2190.0
2017-02-22,5.0,30.0,5.0,5.0,5.0,5.0,,8.0,1.0,118000.0,8.0,32302500.0,2190.0
2017-02-24,,19.0,,,,,,,,,,32302500.0,2190.0
2017-02-27,,29.0,,,,,,,,,,32302500.0,2190.0
2017-02-28,46.0,65.0,48.0,50.0,23.0,42.0,,1.0,8.0,383500.0,26.0,32597500.0,2210.0
2017-03-01,35.0,30.0,45.0,50.0,20.0,35.0,-16.67,1.0,9.0,280250.0,19.0,32922000.0,2232.0
2017-03-02,11.0,15.0,10.0,11.0,10.0,11.0,-68.57,1.0,2.0,29500.0,2.0,32981000.0,2236.0
2017-03-03,10.0,11.0,10.0,10.0,10.0,10.0,-9.09,1.0,2.0,29500.0,2.0,32981000.0,2236.0
2017-03-06,,7.0,,,,,,,,,,32981000.0,2236.0
2017-03-07,8.0,5.0,10.0,14.0,5.0,5.0,,10.0,6.0,280250.0,19.0,32804000.0,2224.0
2017-03-09,,19.0,,,,,,,,,,32804000.0,2224.0
2017-03-10,,9.0,,,,,,,,,,32804000.0,2224.0
2017-03-13,12.0,4.0,14.0,14.0,12.0,12.0,,1.0,4.0,103250.0,7.0,32981000.0,2236.0
2017-03-14,,2.0,,,,,,,,,,32981000.0,2236.0
2017-03-15,1.0,,1.0,1.0,1.0,1.0,,1.0,34.0,516250.0,35.0,,
2017-03-16,,,,,,,,,,,,,
