date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2018-03-05,,664,,,,,,,,,,,
2018-03-06,,595,,,,,,,,,,,
2018-03-07,,616,,,,,,,,,,,
2018-03-09,,632,,,,,,,,,,,
2018-03-12,,749,,,,,,,,,,,
2018-03-13,,588,,,,,,,,,,,
2018-03-14,,446,,,,,,,,,,,
2018-03-15,,310,,,,,,,,,,,
2018-03-16,,314,,,,,,,,,,,
2018-03-19,,213,,,,,,,,,,,
2018-03-20,,235,,,,,,,,,,,
2018-03-21,,393,,,,,,,,,,,
2018-03-22,,288,,,,,,,,,,,
2018-03-23,,234,,,,,,,,,,,
2018-03-26,,183,,,,,,,,,,,
2018-03-27,,193,,,,,,,,,,,
2018-03-28,,163,,,,,,,,,,,
2018-03-29,,157,,,,,,,,,,,
2018-03-30,,163,,,,,,,,,,,
2018-04-02,,101,,,,,,,,,,,
2018-04-03,,63,,,,,,,,,,,
2018-04-04,,105,,,,,,,,,,,
2018-04-05,,191,,,,,,,,,,,
2018-04-06,,182,,,,,,,,,,,
2018-04-09,,81,,,,,,,,,,,
