date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2016-06-17,,7010.0,,,,,,,,,,,
2016-06-20,,6324.0,,,,,,,,,,,
2016-06-21,,5906.0,,,,,,,,,,,
2016-06-22,,7577.0,,,,,,,,,,,
2016-06-23,,6101.0,,,,,,,,,,,
2016-06-24,,6731.0,,,,,,,,,,,
2016-06-27,,6853.0,,,,,,,,,,,
2016-06-28,,6131.0,,,,,,,,,,,
2016-06-29,,5670.0,,,,,,,,,,,
2016-06-30,,5738.0,,,,,,,,,,,
2016-07-01,,5571.0,,,,,,,,,,,
2016-07-04,,5472.0,,,,,,,,,,,
2016-07-05,,5914.0,,,,,,,,,,,
2016-07-06,,5708.0,,,,,,,,,,,
2016-07-07,,5466.0,,,,,,,,,,,
2016-07-08,,5547.0,,,,,,,,,,,
2016-07-11,,5319.0,,,,,,,,,,,
2016-07-12,,5568.0,,,,,,,,,,,
2016-07-13,,5330.0,,,,,,,,,,,
2016-07-14,,4557.0,,,,,,,,,,,
2016-07-15,,4713.0,,,,,,,,,,,
2016-07-18,,4499.0,,,,,,,,,,,
2016-07-19,,4767.0,,,,,,,,,,,
2016-07-20,,5108.0,,,,,,,,,,,
2016-07-21,,5199.0,,,,,,,,,,,
2016-07-22,,5658.0,,,,,,,,,,,
2016-07-25,,5918.0,,,,,,,,,,,
2016-07-26,,6146.0,,,,,,,,,,,
2016-07-27,,6305.0,,,,,,,,,,,
2016-07-28,,6981.0,,,,,,,,,,,
2016-07-29,,6268.0,,,,,,,,,,,
2016-08-01,,6545.0,,,,,,,,,,,
2016-08-02,,6715.0,,,,,,,,,,,
2016-08-03,,6459.0,,,,,,,,,,,
2016-08-04,,6266.0,,,,,,,,,,,
2016-08-05,,5752.0,,,,,,,,,,,
2016-08-08,,5358.0,,,,,,,,,,,
2016-08-09,,5388.0,,,,,,,,,,,
2016-08-10,,5148.0,,,,,,,,,,,
2016-08-11,,4823.0,,,,,,,,,,,
2016-08-12,,5147.0,,,,,,,,,,,
2016-08-15,,4550.0,,,,,,,,,,,
2016-08-16,,4293.0,,,,,,,,,,,
2016-08-17,,4648.0,,,,,,,,,,,
2016-08-18,,4483.0,,,,,,,,,,,
2016-08-19,,4332.0,,,,,,,,,,,
2016-08-22,,4872.0,,,,,,,,,,,
2016-08-23,,4544.0,,,,,,,,,,,
2016-08-24,,5010.0,,,,,,,,,,,
2016-08-25,,4888.0,,,,,,,,,,,
2016-08-26,,4497.0,,,,,,,,,,,
2016-08-29,,4804.0,,,,,,,,,,,
2016-08-30,,4980.0,,,,,,,,,,,
2016-08-31,,5013.0,,,,,,,,,,,
2016-09-01,,5314.0,,,,,,,,,,,
2016-09-02,,4772.0,,,,,,,,,,,
2016-09-05,,4625.0,,,,,,,,,,,
2016-09-06,,4309.0,,,,,,,,,,,
2016-09-07,,4005.0,,,,,,,,,,,
2016-09-08,,3492.0,,,,,,,,,,,
2016-09-09,,4004.0,,,,,,,,,,,
2016-09-12,,4060.0,,,,,,,,,,,
2016-09-13,,4499.0,,,,,,,,,,,
2016-09-14,,4389.0,,,,,,,,,,,
2016-09-15,,4201.0,,,,,,,,,,,
2016-09-16,,4213.0,,,,,,,,,,,
2016-09-19,,3939.0,,,,,,,,,,,
2016-09-20,,4127.0,,,,,,,,,,,
2016-09-21,,3661.0,,,,,,,,,,,
2016-09-22,,3343.0,,,,,,,,,,,
2016-09-23,,3428.0,,,,,,,,,,,
2016-09-26,,3456.0,,,,,,,,,,,
2016-09-27,,3532.0,,,,,,,,,,,
2016-09-28,,3574.0,,,,,,,,,,,
2016-09-29,,2827.0,,,,,,,,,,,
2016-09-30,,2654.0,,,,,,,,,,,
2016-10-03,2555.0,2400.0,2560.0,2560.0,2550.0,2550.0,,1.0,2.0,130000.0,2.0,260000.0,4.0
2016-10-04,,2461.0,,,,,,,,,,260000.0,4.0
2016-10-05,2400.0,2345.0,2400.0,2400.0,2400.0,2400.0,,2.0,1.0,130000.0,2.0,,
2016-10-06,,2213.0,,,,,,,,,,,
2016-10-07,,2433.0,,,,,,,,,,,
2016-10-10,,2098.0,,,,,,,,,,,
2016-10-11,,2545.0,,,,,,,,,,,
2016-10-12,,2801.0,,,,,,,,,,,
2016-10-13,,2600.0,,,,,,,,,,,
2016-10-14,,2617.0,,,,,,,,,,,
2016-10-17,,2736.0,,,,,,,,,,,
2016-10-18,,2534.0,,,,,,,,,,,
2016-10-19,,2301.0,,,,,,,,,,,
2016-10-20,,2389.0,,,,,,,,,,,
2016-10-21,,2246.0,,,,,,,,,,,
2016-10-24,,2021.0,,,,,,,,,,,
2016-10-25,,2226.0,,,,,,,,,,,
2016-10-26,,2382.0,,,,,,,,,,,
2016-10-27,,2337.0,,,,,,,,,,,
2016-10-28,,2381.0,,,,,,,,,,,
2016-10-31,,2569.0,,,,,,,,,,,
2016-11-01,,2430.0,,,,,,,,,,,
2016-11-02,,2808.0,,,,,,,,,,,
2016-11-03,,2676.0,,,,,,,,,,,
2016-11-07,,2777.0,,,,,,,,,,,
2016-11-08,2790.0,2769.0,2790.0,2790.0,2790.0,2790.0,,5.0,1.0,325000.0,5.0,650000.0,10.0
2016-11-09,,2904.0,,,,,,,,,,650000.0,10.0
2016-11-10,3400.0,3250.0,3400.0,3400.0,3400.0,3400.0,,1.0,1.0,65000.0,1.0,780000.0,12.0
2016-11-11,,4034.0,,,,,,,,,,780000.0,12.0
2016-11-14,,4288.0,,,,,,,,,,780000.0,12.0
2016-11-15,3929.0,3312.0,3972.0,3972.0,3670.0,3670.0,,1.0,10.0,1755000.0,27.0,4290000.0,66.0
2016-11-16,,3116.0,,,,,,,,,,4290000.0,66.0
2016-11-17,,3173.0,,,,,,,,,,4290000.0,66.0
2016-11-18,,3281.0,,,,,,,,,,4290000.0,66.0
2016-11-21,,2792.0,,,,,,,,,,4290000.0,66.0
2016-11-22,2480.0,2569.0,2500.0,2500.0,2450.0,2500.0,,2.0,7.0,1300000.0,20.0,6370000.0,98.0
2016-11-23,,3015.0,,,,,,,,,,6370000.0,98.0
2016-11-24,3049.0,2899.0,3049.0,3049.0,3049.0,3049.0,,5.0,1.0,325000.0,5.0,7020000.0,108.0
2016-11-25,2810.0,3215.0,2810.0,2810.0,2810.0,2810.0,-7.84,2.0,2.0,325000.0,5.0,6370000.0,98.0
2016-11-28,3125.0,3100.0,3250.0,3250.0,3000.0,3000.0,6.76,1.0,2.0,130000.0,2.0,6630000.0,102.0
2016-11-29,3250.0,3384.0,3150.0,3350.0,3150.0,3350.0,11.67,1.0,2.0,130000.0,2.0,6890000.0,106.0
2016-11-30,2794.0,2845.0,2900.0,2900.0,2650.0,2800.0,-16.42,5.0,5.0,585000.0,9.0,7280000.0,112.0
2016-12-01,2487.0,2564.0,2470.0,2500.0,2470.0,2500.0,-10.71,10.0,4.0,2210000.0,34.0,9880000.0,152.0
2016-12-02,2500.0,2408.0,2500.0,2500.0,2500.0,2500.0,,1.0,2.0,390000.0,6.0,10530000.0,162.0
2016-12-05,2300.0,2221.0,2300.0,2300.0,2300.0,2300.0,-8.0,1.0,1.0,65000.0,1.0,10660000.0,164.0
2016-12-06,,2276.0,,,,,,,,,,10660000.0,164.0
2016-12-07,2192.0,2198.0,2200.0,2200.0,2150.0,2150.0,,2.0,3.0,780000.0,12.0,10920000.0,168.0
