date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2016-06-17,,11317,,,,,,,,,,,
2016-06-20,,11652,,,,,,,,,,,
2016-06-21,,11285,,,,,,,,,,,
2016-06-22,,11207,,,,,,,,,,,
2016-06-23,,11910,,,,,,,,,,,
2016-06-24,,10422,,,,,,,,,,,
2016-06-27,,10253,,,,,,,,,,,
2016-06-28,,10748,,,,,,,,,,,
2016-06-29,,11825,,,,,,,,,,,
2016-06-30,,11798,,,,,,,,,,,
2016-07-01,,11810,,,,,,,,,,,
2016-07-04,,11957,,,,,,,,,,,
2016-07-05,,11276,,,,,,,,,,,
2016-07-06,,10993,,,,,,,,,,,
2016-07-07,,11441,,,,,,,,,,,
2016-07-08,,11817,,,,,,,,,,,
2016-07-11,,11657,,,,,,,,,,,
2016-07-12,,11978,,,,,,,,,,,
2016-07-13,,11773,,,,,,,,,,,
2016-07-14,,12664,,,,,,,,,,,
2016-07-15,,12232,,,,,,,,,,,
2016-07-18,,12460,,,,,,,,,,,
2016-07-19,,12261,,,,,,,,,,,
2016-07-20,,12668,,,,,,,,,,,
2016-07-21,,11931,,,,,,,,,,,
2016-07-22,,11153,,,,,,,,,,,
2016-07-25,,10808,,,,,,,,,,,
2016-07-26,,10057,,,,,,,,,,,
2016-07-27,,9809,,,,,,,,,,,
2016-07-28,,10053,,,,,,,,,,,
2016-07-29,,10733,,,,,,,,,,,
2016-08-01,,9432,,,,,,,,,,,
2016-08-02,,9964,,,,,,,,,,,
2016-08-03,,10185,,,,,,,,,,,
2016-08-04,,10333,,,,,,,,,,,
2016-08-05,,10938,,,,,,,,,,,
2016-08-08,,11395,,,,,,,,,,,
2016-08-09,,11272,,,,,,,,,,,
2016-08-10,,11400,,,,,,,,,,,
2016-08-11,,10770,,,,,,,,,,,
2016-08-12,,11070,,,,,,,,,,,
2016-08-15,,12008,,,,,,,,,,,
2016-08-16,,12022,,,,,,,,,,,
2016-08-17,,11624,,,,,,,,,,,
2016-08-18,,12360,,,,,,,,,,,
2016-08-19,,12006,,,,,,,,,,,
2016-08-22,,11499,,,,,,,,,,,
2016-08-23,,11252,,,,,,,,,,,
2016-08-24,,10423,,,,,,,,,,,
2016-08-25,,11096,,,,,,,,,,,
2016-08-26,,11343,,,,,,,,,,,
2016-08-29,,10766,,,,,,,,,,,
2016-08-30,,10696,,,,,,,,,,,
2016-08-31,,10570,,,,,,,,,,,
2016-09-01,,10147,,,,,,,,,,,
2016-09-02,,10572,,,,,,,,,,,
2016-09-05,,10723,,,,,,,,,,,
2016-09-06,,10835,,,,,,,,,,,
2016-09-07,,10975,,,,,,,,,,,
2016-09-08,,12208,,,,,,,,,,,
2016-09-09,,10828,,,,,,,,,,,
2016-09-12,,10995,,,,,,,,,,,
2016-09-13,,10079,,,,,,,,,,,
2016-09-14,,11165,,,,,,,,,,,
2016-09-15,,10543,,,,,,,,,,,
2016-09-16,,10636,,,,,,,,,,,
2016-09-19,,10827,,,,,,,,,,,
2016-09-20,,10774,,,,,,,,,,,
2016-09-21,,11108,,,,,,,,,,,
2016-09-22,,11807,,,,,,,,,,,
2016-09-23,,11720,,,,,,,,,,,
2016-09-26,,11498,,,,,,,,,,,
2016-09-27,,11566,,,,,,,,,,,
2016-09-28,,11378,,,,,,,,,,,
2016-09-29,,12613,,,,,,,,,,,
2016-09-30,,12492,,,,,,,,,,,
2016-10-03,,13294,,,,,,,,,,,
2016-10-04,,12973,,,,,,,,,,,
2016-10-05,,13092,,,,,,,,,,,
2016-10-06,,13269,,,,,,,,,,,
2016-10-12,,12418,,,,,,,,,,,
2016-10-13,,12420,,,,,,,,,,,
2016-10-14,,12557,,,,,,,,,,,
2016-10-17,,12455,,,,,,,,,,,
2016-10-18,,12648,,,,,,,,,,,
2016-10-19,,13289,,,,,,,,,,,
2016-10-21,,13170,,,,,,,,,,,
2016-10-27,,12831,,,,,,,,,,,
2016-10-28,,12633,,,,,,,,,,,
2016-10-31,,12220,,,,,,,,,,,
2016-11-01,,12607,,,,,,,,,,,
2016-11-02,,11891,,,,,,,,,,,
2016-11-03,,11909,,,,,,,,,,,
2016-11-07,,11955,,,,,,,,,,,
2016-11-08,,11952,,,,,,,,,,,
2016-11-09,,11738,,,,,,,,,,,
2016-11-10,,10997,,,,,,,,,,,
2016-11-11,,10249,,,,,,,,,,,
2016-11-14,,10155,,,,,,,,,,,
2016-11-15,,11448,,,,,,,,,,,
2016-11-16,,11696,,,,,,,,,,,
2016-11-17,,11628,,,,,,,,,,,
2016-11-18,,11729,,,,,,,,,,,
2016-11-21,,12626,,,,,,,,,,,
2016-11-22,,12315,,,,,,,,,,,
2016-11-23,,11952,,,,,,,,,,,
2016-11-24,,12399,,,,,,,,,,,
2016-11-25,,11798,,,,,,,,,,,
2016-11-28,,12032,,,,,,,,,,,
2016-11-29,,11215,,,,,,,,,,,
2016-11-30,,12167,,,,,,,,,,,
2016-12-01,,12876,,,,,,,,,,,
2016-12-02,,13008,,,,,,,,,,,
2016-12-05,,13241,,,,,,,,,,,
2016-12-06,,12975,,,,,,,,,,,
2016-12-07,,13132,,,,,,,,,,,
2016-12-08,,13737,,,,,,,,,,,
