date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2020-03-13,,3914.0,,,,,,,,,,,
2020-03-16,,5703.0,,,,,,,,,,,
2020-03-17,,5001.0,,,,,,,,,,,
2020-03-18,,8167.0,,,,,,,,,,,
2020-03-19,,8146.0,,,,,,,,,,,
2020-03-20,,8037.0,,,,,,,,,,,
2020-03-23,,8144.0,,,,,,,,,,,
2020-03-24,,6654.0,,,,,,,,,,,
2020-03-25,,6994.0,,,,,,,,,,,
2020-03-26,,6297.0,,,,,,,,,,,
2020-03-27,,6850.0,,,,,,,,,,,
2020-03-30,,7900.0,,,,,,,,,,,
2020-03-31,,7151.0,,,,,,,,,,,
2020-04-01,,7546.0,,,,,,,,,,,
2020-04-02,,6833.0,,,,,,,,,,,
2020-04-03,,6561.0,,,,,,,,,,,
2020-04-06,,5893.0,,,,,,,,,,,
2020-04-07,,6215.0,,,,,,,,,,,
2020-04-08,,5417.0,,,,,,,,,,,
2020-04-09,,4776.0,,,,,,,,,,,
2020-04-10,,4740.0,,,,,,,,,,,
2020-04-13,,4272.0,,,,,,,,,,,
2020-04-14,,3746.0,,,,,,,,,,,
2020-04-15,,5087.0,,,,,,,,,,,
2020-04-16,,4392.0,,,,,,,,,,,
2020-04-17,,4522.0,,,,,,,,,,,
2020-04-20,,4245.0,,,,,,,,,,,
2020-04-21,,5512.0,,,,,,,,,,,
2020-04-22,,4987.0,,,,,,,,,,,
2020-04-23,,3955.0,,,,,,,,,,,
2020-04-24,,4411.0,,,,,,,,,,,
2020-04-27,,4447.0,,,,,,,,,,,
2020-04-28,,3971.0,,,,,,,,,,,
2020-04-29,,3721.0,,,,,,,,,,,
2020-04-30,,5059.0,,,,,,,,,,,
2020-05-04,,5043.0,,,,,,,,,,,
2020-05-05,,4242.0,,,,,,,,,,,
2020-05-06,,4437.0,,,,,,,,,,,
2020-05-07,,3379.0,,,,,,,,,,,
2020-05-08,,2986.0,,,,,,,,,,,
2020-05-12,,2868.0,,,,,,,,,,,
2020-05-13,,2973.0,,,,,,,,,,,
2020-05-14,,3692.0,,,,,,,,,,,
2020-05-15,,3285.0,,,,,,,,,,,
2020-05-18,,2797.0,,,,,,,,,,,
2020-05-19,,2837.0,,,,,,,,,,,
2020-05-20,,2520.0,,,,,,,,,,,
2020-05-21,,2208.0,,,,,,,,,,,
2020-05-22,,2307.0,,,,,,,,,,,
2020-05-25,,2356.0,,,,,,,,,,,
2020-05-26,,2126.0,,,,,,,,,,,
2020-05-27,,2369.0,,,,,,,,,,,
2020-05-28,,2130.0,,,,,,,,,,,
2020-05-29,,1771.0,,,,,,,,,,,
2020-06-01,,1752.0,,,,,,,,,,,
2020-06-02,,1873.0,,,,,,,,,,,
2020-06-03,,1886.0,,,,,,,,,,,
2020-06-04,,1939.0,,,,,,,,,,,
2020-06-05,,1711.0,,,,,,,,,,,
2020-06-08,,1834.0,,,,,,,,,,,
2020-06-09,,1659.0,,,,,,,,,,,
2020-06-10,,2050.0,,,,,,,,,,,
2020-06-11,,1656.0,,,,,,,,,,,
2020-06-15,,2436.0,,,,,,,,,,,
2020-06-16,,2160.0,,,,,,,,,,,
2020-06-17,,2049.0,,,,,,,,,,,
2020-06-18,,1912.0,,,,,,,,,,,
2020-06-19,,1580.0,,,,,,,,,,,
2020-06-22,,1536.0,,,,,,,,,,,
2020-06-23,,1460.0,,,,,,,,,,,
2020-06-25,,1709.0,,,,,,,,,,,
2020-06-26,,1913.0,,,,,,,,,,,
2020-06-29,,1803.0,,,,,,,,,,,
2020-06-30,,1116.0,,,,,,,,,,,
2020-07-02,,1291.0,,,,,,,,,,,
2020-07-03,,1347.0,,,,,,,,,,,
2020-07-06,,1449.0,,,,,,,,,,,
2020-07-07,,1368.0,,,,,,,,,,,
2020-07-08,,1395.0,,,,,,,,,,,
2020-07-09,,1262.0,,,,,,,,,,,
2020-07-10,,1425.0,,,,,,,,,,,
2020-07-13,,1335.0,,,,,,,,,,,
2020-07-14,,1518.0,,,,,,,,,,,
2020-07-15,,1405.0,,,,,,,,,,,
2020-07-16,,1353.0,,,,,,,,,,,
2020-07-17,,1669.0,,,,,,,,,,,
2020-07-20,,1772.0,,,,,,,,,,,
2020-07-21,,1618.0,,,,,,,,,,,
2020-07-22,,1935.0,,,,,,,,,,,
2020-07-23,,1455.0,,,,,,,,,,,
2020-07-24,,1302.0,,,,,,,,,,,
2020-07-27,,1273.0,,,,,,,,,,,
2020-07-28,,1424.0,,,,,,,,,,,
2020-07-29,,1875.0,,,,,,,,,,,
2020-07-30,,2065.0,,,,,,,,,,,
2020-07-31,,2149.0,,,,,,,,,,,
2020-08-03,,1783.0,,,,,,,,,,,
2020-08-04,,1811.0,,,,,,,,,,,
