date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2019-06-14,,314.0,,,,,,,,,,,
2019-06-17,,258.0,,,,,,,,,,,
2019-06-18,,316.0,,,,,,,,,,,
2019-06-19,,433.0,,,,,,,,,,,
2019-06-20,,470.0,,,,,,,,,,,
2019-06-21,,917.0,,,,,,,,,,,
2019-06-24,,730.0,,,,,,,,,,,
2019-06-25,,737.0,,,,,,,,,,,
2019-06-26,,823.0,,,,,,,,,,,
2019-06-27,,754.0,,,,,,,,,,,
2019-06-28,,713.0,,,,,,,,,,,
2019-07-01,,756.0,,,,,,,,,,,
2019-07-02,,669.0,,,,,,,,,,,
2019-07-03,,629.0,,,,,,,,,,,
2019-07-04,,578.0,,,,,,,,,,,
2019-07-05,,597.0,,,,,,,,,,,
2019-07-08,,529.0,,,,,,,,,,,
2019-07-09,,499.0,,,,,,,,,,,
2019-07-10,,724.0,,,,,,,,,,,
2019-07-11,,734.0,,,,,,,,,,,
2019-07-12,,800.0,,,,,,,,,,,
2019-07-15,,874.0,,,,,,,,,,,
2019-07-16,,807.0,,,,,,,,,,,
2019-07-17,,761.0,,,,,,,,,,,
2019-07-18,,813.0,,,,,,,,,,,
2019-07-19,,833.0,,,,,,,,,,,
2019-07-22,,931.0,,,,,,,,,,,
2019-07-23,,587.0,,,,,,,,,,,
2019-07-24,,566.0,,,,,,,,,,,
2019-07-25,,586.0,,,,,,,,,,,
2019-07-26,,538.0,,,,,,,,,,,
2019-07-29,,698.0,,,,,,,,,,,
2019-07-30,,604.0,,,,,,,,,,,
2019-07-31,,504.0,,,,,,,,,,,
2019-08-01,,712.0,,,,,,,,,,,
2019-08-02,,477.0,,,,,,,,,,,
2019-08-05,,456.0,,,,,,,,,,,
2019-08-06,,417.0,,,,,,,,,,,
2019-08-07,,485.0,,,,,,,,,,,
2019-08-08,,446.0,,,,,,,,,,,
2019-08-09,,634.0,,,,,,,,,,,
2019-08-12,,561.0,,,,,,,,,,,
2019-08-13,,522.0,,,,,,,,,,,
2019-08-14,,703.0,,,,,,,,,,,
2019-08-15,,524.0,,,,,,,,,,,
2019-08-16,,541.0,,,,,,,,,,,
2019-08-19,400.0,541.0,400.0,400.0,400.0,400.0,,1.0,2.0,120000.0,2.0,240000.0,4.0
2019-08-20,397.0,386.0,400.0,400.0,351.0,351.0,-12.25,1.0,23.0,3060000.0,51.0,6000000.0,100.0
2019-08-21,458.0,449.0,500.0,500.0,401.0,451.0,28.49,5.0,8.0,1320000.0,22.0,6720000.0,112.0
2019-08-22,,423.0,,,,,,,,,,6720000.0,112.0
2019-08-23,,540.0,,,,,,,,,,6720000.0,112.0
2019-08-26,,477.0,,,,,,,,,,6720000.0,112.0
2019-08-27,,664.0,,,,,,,,,,6720000.0,112.0
2019-08-28,,624.0,,,,,,,,,,6720000.0,112.0
2019-08-29,,489.0,,,,,,,,,,6720000.0,112.0
2019-08-30,,385.0,,,,,,,,,,6720000.0,112.0
2019-09-02,,661.0,,,,,,,,,,6720000.0,112.0
2019-09-03,,577.0,,,,,,,,,,6720000.0,112.0
2019-09-04,,436.0,,,,,,,,,,6720000.0,112.0
2019-09-05,352.0,355.0,350.0,361.0,331.0,361.0,,1.0,45.0,8460000.0,141.0,20400000.0,340.0
2019-09-06,350.0,481.0,350.0,350.0,350.0,350.0,-3.05,30.0,3.0,3000000.0,50.0,26400000.0,440.0
2019-09-09,350.0,388.0,350.0,350.0,350.0,350.0,,5.0,2.0,600000.0,10.0,27600000.0,460.0
2019-09-10,,345.0,,,,,,,,,,27600000.0,460.0
2019-09-11,,377.0,,,,,,,,,,27600000.0,460.0
2019-09-12,,751.0,,,,,,,,,,27600000.0,460.0
2019-09-13,,369.0,,,,,,,,,,27600000.0,460.0
2019-09-16,301.0,388.0,301.0,301.0,301.0,301.0,,1.0,1.0,60000.0,1.0,27600000.0,460.0
2019-09-17,400.0,591.0,400.0,400.0,400.0,400.0,32.89,1.0,1.0,60000.0,1.0,27600000.0,460.0
2019-09-18,,563.0,,,,,,,,,,27600000.0,460.0
2019-09-19,,743.0,,,,,,,,,,27600000.0,460.0
2019-09-20,,458.0,,,,,,,,,,27600000.0,460.0
2019-09-23,,777.0,,,,,,,,,,27600000.0,460.0
2019-09-24,,504.0,,,,,,,,,,27600000.0,460.0
2019-09-25,401.0,536.0,401.0,401.0,401.0,401.0,,1.0,1.0,60000.0,1.0,27600000.0,460.0
2019-09-26,,589.0,,,,,,,,,,27600000.0,460.0
2019-09-27,,574.0,,,,,,,,,,27600000.0,460.0
2019-09-30,,503.0,,,,,,,,,,27600000.0,460.0
2019-10-01,,351.0,,,,,,,,,,27600000.0,460.0
2019-10-02,,539.0,,,,,,,,,,27600000.0,460.0
2019-10-03,,357.0,,,,,,,,,,27600000.0,460.0
2019-10-04,,346.0,,,,,,,,,,27600000.0,460.0
2019-10-07,,302.0,,,,,,,,,,27600000.0,460.0
2019-10-08,300.0,352.0,300.0,300.0,300.0,300.0,,35.0,2.0,4200000.0,70.0,36000000.0,600.0
2019-10-09,307.0,326.0,301.0,310.0,301.0,310.0,3.33,1.0,11.0,840000.0,14.0,36000000.0,600.0
2019-10-10,,375.0,,,,,,,,,,36000000.0,600.0
2019-10-11,,362.0,,,,,,,,,,36000000.0,600.0
2019-10-14,,349.0,,,,,,,,,,36000000.0,600.0
2019-10-15,413.0,385.0,501.0,511.0,320.0,320.0,,2.0,3.0,240000.0,4.0,36000000.0,600.0
2019-10-16,,396.0,,,,,,,,,,36000000.0,600.0
2019-10-17,,379.0,,,,,,,,,,36000000.0,600.0
2019-10-18,,439.0,,,,,,,,,,36000000.0,600.0
2019-10-21,,342.0,,,,,,,,,,36000000.0,600.0
2019-10-22,,348.0,,,,,,,,,,36000000.0,600.0
2019-10-23,,384.0,,,,,,,,,,36000000.0,600.0
2019-10-24,,393.0,,,,,,,,,,36000000.0,600.0
2019-10-25,398.0,387.0,375.0,401.0,375.0,401.0,,9.0,9.0,1980000.0,33.0,36000000.0,600.0
2019-10-28,,300.0,,,,,,,,,,36000000.0,600.0
2019-10-29,,517.0,,,,,,,,,,36000000.0,600.0
2019-10-30,,400.0,,,,,,,,,,36000000.0,600.0
2019-10-31,,347.0,,,,,,,,,,36000000.0,600.0
2019-11-01,,301.0,,,,,,,,,,36000000.0,600.0
2019-11-05,,783.0,,,,,,,,,,36000000.0,600.0
2019-11-06,312.0,391.0,301.0,401.0,301.0,401.0,,1.0,3.0,540000.0,9.0,36120000.0,602.0
2019-11-07,400.0,367.0,400.0,401.0,400.0,401.0,,1.0,2.0,6060000.0,101.0,48240000.0,804.0
2019-11-08,403.0,384.0,401.0,425.0,401.0,425.0,5.98,1.0,6.0,720000.0,12.0,49560000.0,826.0
2019-11-11,,439.0,,,,,,,,,,49560000.0,826.0
2019-11-12,,430.0,,,,,,,,,,49560000.0,826.0
2019-11-13,301.0,352.0,301.0,301.0,300.0,300.0,,1.0,2.0,120000.0,2.0,49560000.0,826.0
2019-11-14,351.0,347.0,351.0,351.0,351.0,351.0,17.0,1.0,5.0,300000.0,5.0,49560000.0,826.0
2019-11-15,,272.0,,,,,,,,,,49560000.0,826.0
2019-11-18,,304.0,,,,,,,,,,49560000.0,826.0
2019-11-19,,302.0,,,,,,,,,,49560000.0,826.0
2019-11-20,255.0,305.0,255.0,261.0,251.0,261.0,,1.0,10.0,1500000.0,25.0,49560000.0,826.0
2019-11-21,,358.0,,,,,,,,,,49560000.0,826.0
2019-11-22,,224.0,,,,,,,,,,49560000.0,826.0
